#Resonance Frequency: 404000.000 kHz
#Set Current: 3.17 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000019	0.001	0.000	22.1875	BEFORE
1.000489	0.001	0.000	22.1015625	BEFORE
1.996693	0.001	0.000	22.1875	BEFORE
2.999181	0.001	0.000	22.015625	BEFORE
4.000465	0.001	0.000	22.1015625	BEFORE
5.000456	0.001	0.000	22.015625	BEFORE
5.998657	0.001	0.000	22.015625	BEFORE
6.998468	0.001	0.000	21.9375	BEFORE
8.004728	0.000	0.000	22.015625	BEFORE
9.005803	0.000	0.000	22.015625	BEFORE
10.005299	0.000	0.000	22.015625	BEFORE
10.995509	0.001	0.000	22.015625	BEFORE
12.000495	0.000	0.000	22.015625	BEFORE
12.997000	0.000	0.000	22.015625	BEFORE
14.000470	0.001	0.000	21.8515625	BEFORE
14.996521	0.001	0.000	21.9375	BEFORE
16.000695	0.001	0.000	21.9375	BEFORE
17.005644	0.001	0.000	21.8515625	BEFORE
18.000356	0.001	0.000	21.8515625	BEFORE
18.996308	0.001	0.000	21.8515625	BEFORE
20.000419	0.001	0.000	22.015625	BEFORE
21.000642	0.001	0.000	21.765625	BEFORE
21.996545	0.001	0.000	21.9375	BEFORE
22.998837	0.000	0.000	21.765625	BEFORE
24.000457	0.001	0.000	21.6875	BEFORE
24.999268	0.001	0.000	21.9375	BEFORE
26.000432	0.000	0.000	21.9375	BEFORE
27.001148	0.001	0.000	21.9375	BEFORE
28.000428	0.001	0.000	21.765625	BEFORE
29.003918	0.001	0.000	21.765625	BEFORE
29.998792	0.001	0.000	21.8515625	BEFORE
31.000771	0.001	0.000	21.765625	BEFORE
32.000410	0.000	0.000	21.765625	BEFORE
33.010988	0.001	0.000	21.765625	BEFORE
34.000392	0.001	0.000	21.6875	BEFORE
35.000469	0.001	0.000	21.765625	BEFORE
36.006297	0.000	0.000	21.6875	BEFORE
37.000426	0.001	0.000	21.765625	BEFORE
38.005958	0.001	0.000	21.6875	BEFORE
39.000404	0.000	0.000	21.765625	BEFORE
39.999915	0.001	0.000	21.6875	BEFORE
41.000732	0.001	0.000	21.765625	BEFORE
41.999789	0.001	0.000	21.6875	BEFORE
43.000473	0.000	0.000	21.6875	BEFORE
43.998409	0.000	0.000	21.6875	BEFORE
45.005874	0.001	0.000	21.6875	BEFORE
46.000408	0.001	0.000	21.6875	BEFORE
47.005435	0.001	0.000	21.515625	BEFORE
48.000437	0.001	0.000	21.515625	BEFORE
49.000435	0.001	0.000	21.6875	BEFORE
49.996514	0.001	0.000	21.6875	BEFORE
50.997661	0.001	0.000	21.6875	BEFORE
52.004638	0.001	0.000	21.515625	BEFORE
52.997325	0.001	0.000	21.6875	BEFORE
54.000379	0.001	0.000	21.6015625	BEFORE
54.995428	0.000	0.000	21.6015625	BEFORE
56.000412	0.001	0.000	21.515625	BEFORE
