Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
923000.0	5.496	14.000	22.8515625
924000.0	5.465	14.001	26.953125
925000.0	5.324	14.002	28.3359375
926000.0	5.097	14.002	29.0703125
927000.0	4.810	14.002	29.390625
928000.0	4.487	14.002	29.1484375
929000.0	4.149	14.002	28.7421875
930000.0	3.818	14.002	28.09375
931000.0	3.507	14.002	27.609375
932000.0	3.227	14.002	26.875
933000.0	2.980	14.002	26.4609375
922000.0	5.408	14.002	27.0390625
922500.0	5.461	14.003	28.984375
923000.0	5.487	14.003	30.203125
923500.0	5.486	14.002	30.6015625
924000.0	5.456	14.002	31.1640625
