#Resonance Frequency: 160500.000 kHz
#Set Current: 27.23 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000030	0.001	0.000	24.6875	BEFORE
0.500220	0.001	0.000	24.6171875	BEFORE
0.999964	0.000	0.000	24.5625	BEFORE
1.506813	0.000	0.000	24.5234375	BEFORE
1.999782	0.000	0.000	24.5625	BEFORE
2.505061	0.000	0.000	24.578125	BEFORE
2.999789	0.001	0.000	24.65625	BEFORE
3.505060	0.001	0.000	24.5078125	BEFORE
3.999902	0.001	0.000	24.46875	BEFORE
4.505095	0.001	0.000	24.46875	BEFORE
4.999911	0.001	0.000	24.6875	BEFORE
5.500767	0.000	0.000	24.5078125	BEFORE
5.999795	0.002	0.000	24.5234375	BEFORE
6.504997	0.001	0.000	24.4921875	BEFORE
6.999877	0.001	0.000	24.5234375	BEFORE
7.505026	0.001	0.000	24.46875	BEFORE
7.999840	0.000	0.000	24.3828125	BEFORE
8.500231	0.001	0.000	24.4921875	BEFORE
8.999879	0.001	0.000	24.4375	BEFORE
9.505030	0.001	0.000	24.546875	BEFORE
9.999797	0.002	0.000	24.453125	BEFORE
10.999885	27.135	37.541	24.4375	EXPOSING
11.505197	27.137	37.700	25.4375	EXPOSING
11.999871	27.136	37.802	25.7265625	EXPOSING
12.505035	27.139	37.872	26.0390625	EXPOSING
12.999854	27.137	37.923	26.0546875	EXPOSING
13.520847	27.139	37.964	26.421875	EXPOSING
13.999770	27.137	38.015	26.8046875	EXPOSING
14.505010	27.138	38.060	27.203125	EXPOSING
14.999661	27.137	38.081	28.0078125	EXPOSING
15.506005	27.138	38.105	28.3125	EXPOSING
15.999878	27.138	38.124	29.0625	EXPOSING
16.505074	27.139	38.146	29.421875	EXPOSING
16.999864	27.139	38.158	30.0546875	EXPOSING
17.505078	27.138	38.176	30.6015625	EXPOSING
17.999911	27.138	38.190	31.03125	EXPOSING
18.501470	27.136	38.201	31.453125	EXPOSING
18.999829	27.138	38.219	32.1171875	EXPOSING
19.504851	27.138	38.230	32.5	EXPOSING
19.999829	27.139	38.245	32.7890625	EXPOSING
20.503143	27.139	38.248	33.171875	EXPOSING
20.999781	27.137	38.259	33.671875	EXPOSING
21.503326	27.139	38.270	33.921875	EXPOSING
21.999771	27.139	38.279	34.3359375	EXPOSING
22.505049	27.139	38.289	34.6484375	EXPOSING
22.999843	27.138	38.289	35.0703125	EXPOSING
23.508286	27.140	38.299	35.3828125	EXPOSING
23.999953	27.139	38.314	35.6171875	EXPOSING
24.505051	27.137	38.329	36.0234375	EXPOSING
24.999885	27.138	38.340	36.4453125	EXPOSING
25.505056	27.138	38.340	36.640625	EXPOSING
25.999922	27.138	38.352	36.9765625	EXPOSING
26.501512	27.138	38.359	37.1953125	EXPOSING
26.999831	27.139	38.354	37.4765625	EXPOSING
27.507467	27.139	38.361	37.8203125	EXPOSING
27.999771	27.139	38.368	38.140625	EXPOSING
28.505074	27.139	38.372	38.4296875	EXPOSING
28.999782	27.139	38.375	38.765625	EXPOSING
29.501204	27.138	38.379	39.015625	EXPOSING
29.999814	27.139	38.385	39.3046875	EXPOSING
30.507386	27.138	38.391	39.5546875	EXPOSING
30.999822	27.139	38.398	39.9765625	EXPOSING
31.504126	27.141	38.400	40.125	EXPOSING
31.999799	27.138	38.405	40.4140625	EXPOSING
32.511317	27.141	38.410	40.7109375	EXPOSING
32.999841	27.140	38.421	40.9453125	EXPOSING
33.505046	27.139	38.426	41.25	EXPOSING
33.999831	27.139	38.418	41.4453125	EXPOSING
34.503374	27.140	38.428	41.8671875	EXPOSING
34.999826	27.139	38.436	42.1328125	EXPOSING
35.504193	27.139	38.450	42.2734375	EXPOSING
35.999899	27.139	38.451	42.609375	EXPOSING
36.502015	27.139	38.460	42.859375	EXPOSING
36.999923	27.139	38.466	43.0703125	EXPOSING
37.505050	27.139	38.465	43.28125	EXPOSING
37.999840	27.138	38.470	43.5078125	EXPOSING
38.506820	27.140	38.476	43.7734375	EXPOSING
38.999860	27.140	38.480	44.1171875	EXPOSING
39.509147	27.138	38.481	44.2578125	EXPOSING
39.999829	27.140	38.487	44.4296875	EXPOSING
40.501274	27.140	38.495	44.75	EXPOSING
40.999876	27.140	38.490	45.0546875	EXPOSING
41.505049	27.139	38.501	45.265625	EXPOSING
41.999913	27.140	38.504	45.53125	EXPOSING
42.501682	27.140	38.509	45.7265625	EXPOSING
42.999832	27.141	38.512	45.953125	EXPOSING
43.499972	27.140	38.520	46.1328125	EXPOSING
43.999792	27.141	38.519	46.4453125	EXPOSING
44.505096	27.141	38.526	46.515625	EXPOSING
44.999866	27.141	38.535	46.8046875	EXPOSING
45.499876	27.141	38.547	47.0625	EXPOSING
45.999907	27.140	38.542	47.2109375	EXPOSING
46.499890	27.140	38.547	47.46875	EXPOSING
47.007130	27.140	38.544	47.6484375	EXPOSING
47.505500	27.140	38.541	48.0703125	EXPOSING
47.999695	27.140	38.550	48.0859375	EXPOSING
48.500024	27.140	38.557	48.3203125	EXPOSING
48.999817	27.140	38.563	48.671875	EXPOSING
49.505068	27.140	38.567	48.9140625	EXPOSING
49.999850	27.141	38.571	49.0390625	EXPOSING
50.504822	27.141	38.575	49.21875	EXPOSING
50.999890	27.139	38.579	49.5546875	EXPOSING
51.499885	27.141	38.583	49.65625	EXPOSING
51.999927	27.140	38.587	49.765625	EXPOSING
52.499897	27.140	38.588	50.0234375	EXPOSING
52.999983	27.140	38.590	50.21875	EXPOSING
53.510655	27.141	38.591	50.34375	EXPOSING
54.000027	27.140	38.586	50.6953125	EXPOSING
54.501550	27.140	38.603	50.75	EXPOSING
54.999818	27.141	38.612	50.8203125	EXPOSING
55.503159	27.139	38.616	51.046875	EXPOSING
55.999786	27.140	38.614	51.1484375	EXPOSING
56.506019	27.140	38.608	51.453125	EXPOSING
56.999808	27.141	38.622	51.640625	EXPOSING
57.503009	27.141	38.625	51.78125	EXPOSING
57.999874	27.141	38.631	51.9375	EXPOSING
58.505041	27.140	38.635	52.1328125	EXPOSING
58.999841	27.140	38.636	52.328125	EXPOSING
59.507515	27.141	38.635	52.453125	EXPOSING
59.999776	27.141	38.636	52.5703125	EXPOSING
60.505036	27.141	38.621	52.8203125	EXPOSING
60.999829	27.141	38.642	52.921875	EXPOSING
61.501900	27.140	38.649	53.1328125	EXPOSING
61.999897	27.141	38.649	53.328125	EXPOSING
62.503078	27.140	38.660	53.5390625	EXPOSING
62.999850	27.140	38.675	53.609375	EXPOSING
63.501031	27.140	38.657	53.640625	EXPOSING
63.999797	27.141	38.672	53.90625	EXPOSING
64.505021	27.140	38.678	54.1015625	EXPOSING
64.999845	27.141	38.681	54.1796875	EXPOSING
65.505363	27.141	38.676	54.328125	EXPOSING
65.999818	27.142	38.676	54.484375	EXPOSING
66.505039	27.139	38.678	54.65625	EXPOSING
66.999899	27.139	38.675	54.78125	EXPOSING
67.505025	27.142	38.674	54.8984375	EXPOSING
67.999827	27.140	38.690	55.0234375	EXPOSING
68.499794	27.141	38.700	55.2890625	EXPOSING
68.999818	27.141	38.698	55.359375	EXPOSING
69.505173	27.142	38.701	55.4296875	EXPOSING
69.999777	27.141	38.697	55.5859375	EXPOSING
70.999874	0.019	0.006	55.703125	WAIT
71.502888	0.018	0.003	54.796875	WAIT
71.999924	0.017	0.002	54.8828125	WAIT
72.505048	0.017	0.002	54.8828125	WAIT
72.999869	0.002	0.001	55.0625	WAIT
73.505077	0.002	0.000	55.1328125	WAIT
73.999853	0.002	0.000	55.09375	WAIT
74.500175	0.002	0.000	55.0234375	WAIT
74.999820	0.001	0.000	54.78125	WAIT
75.505049	0.001	0.000	54.4140625	WAIT
75.999847	0.002	0.000	54.1484375	WAIT
76.501813	0.001	0.000	53.796875	WAIT
76.999826	0.002	0.000	53.3984375	WAIT
77.505000	0.002	0.000	53.0234375	WAIT
77.999912	0.001	0.000	52.640625	WAIT
78.511703	0.002	0.000	52.2578125	WAIT
78.999898	0.001	0.000	52.046875	WAIT
