#Resonance Frequency: 570500.000 kHz
#Set Current: 16.42 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000042	0.000	0.000	29.7265625	BEFORE
0.500206	0.000	0.000	29.78125	BEFORE
1.002948	0.001	0.000	29.5703125	BEFORE
1.500276	0.000	0.000	29.75	BEFORE
2.000212	0.001	0.000	29.6953125	BEFORE
2.500262	0.000	0.000	29.640625	BEFORE
3.000030	0.001	0.000	29.6015625	BEFORE
3.500274	0.000	0.000	29.6015625	BEFORE
4.000015	0.000	0.000	29.6171875	BEFORE
4.500213	0.001	0.000	29.515625	BEFORE
4.999986	0.001	0.000	29.5859375	BEFORE
5.500245	0.000	0.000	29.4921875	BEFORE
6.000151	0.001	0.000	29.4375	BEFORE
6.500206	0.001	0.000	29.4375	BEFORE
7.000053	0.000	0.000	29.4921875	BEFORE
7.500196	0.000	0.000	29.328125	BEFORE
8.000703	0.001	0.000	29.3828125	BEFORE
8.500232	0.000	0.000	29.4375	BEFORE
9.000114	0.000	0.000	29.4375	BEFORE
9.500258	0.001	0.000	29.40625	BEFORE
10.000109	0.000	0.000	29.3515625	BEFORE
10.500371	0.001	0.000	29.2421875	BEFORE
11.002247	0.000	0.000	29.3671875	BEFORE
11.500216	0.001	0.000	29.3125	BEFORE
12.005181	0.000	0.000	29.2265625	BEFORE
12.500210	0.001	0.000	29.3125	BEFORE
13.000036	0.001	0.000	29.3125	BEFORE
13.500214	0.000	0.000	29.2421875	BEFORE
14.000192	0.001	0.000	29.1875	BEFORE
14.500225	0.001	0.000	29.171875	BEFORE
15.000170	0.000	0.000	29.09375	BEFORE
15.500231	0.001	0.000	29.078125	BEFORE
16.000200	0.001	0.000	29.1875	BEFORE
16.500272	0.000	0.000	29.171875	BEFORE
17.000057	0.001	0.000	29.0625	BEFORE
17.500260	0.001	0.000	29.0625	BEFORE
18.013304	0.000	0.000	29.0625	BEFORE
18.500207	0.001	0.000	29.1171875	BEFORE
19.000062	0.001	0.000	29.0390625	BEFORE
19.500220	0.001	0.000	28.96875	BEFORE
20.000320	0.001	0.000	28.9140625	BEFORE
20.500215	0.000	0.000	28.984375	BEFORE
21.000122	0.000	0.000	28.96875	BEFORE
21.500216	0.000	0.000	28.9140625	BEFORE
22.000143	0.001	0.000	28.8203125	BEFORE
22.500226	0.000	0.000	28.9296875	BEFORE
23.001014	0.000	0.000	28.875	BEFORE
23.500223	0.000	0.000	28.8984375	BEFORE
24.002947	0.000	0.000	28.7109375	BEFORE
24.500237	0.001	0.000	28.875	BEFORE
25.000103	0.000	0.000	28.8046875	BEFORE
25.500242	0.001	0.000	28.75	BEFORE
26.001936	0.000	0.000	28.75	BEFORE
26.500250	0.000	0.000	28.7890625	BEFORE
27.000046	0.000	0.000	28.625	BEFORE
27.500259	0.000	0.000	28.6953125	BEFORE
28.000141	0.001	0.000	28.7109375	BEFORE
