#Resonance Frequency: 570500.000 kHz
#Set Current: 9.85 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000039	0.000	0.000	21.6328125	BEFORE
0.503950	0.000	0.000	21.671875	BEFORE
0.999955	0.000	0.000	21.671875	BEFORE
1.499747	0.000	0.000	21.6328125	BEFORE
1.999966	0.000	0.000	21.78125	BEFORE
2.502398	0.000	0.000	21.78125	BEFORE
2.999962	0.000	0.000	21.6015625	BEFORE
3.499686	0.000	0.000	21.6171875	BEFORE
3.999954	0.000	0.000	21.546875	BEFORE
4.499752	0.000	0.000	21.7421875	BEFORE
4.999997	0.000	0.000	21.7421875	BEFORE
5.499745	0.000	0.000	21.78125	BEFORE
5.999972	0.000	0.000	21.65625	BEFORE
6.499672	0.000	0.000	21.6015625	BEFORE
6.999992	0.000	0.000	21.6953125	BEFORE
7.502967	0.000	0.000	21.6953125	BEFORE
8.000001	0.000	0.000	21.65625	BEFORE
8.499806	0.001	0.000	21.6328125	BEFORE
8.999951	0.000	0.000	21.7109375	BEFORE
9.500133	0.000	0.000	21.6171875	BEFORE
9.999945	0.000	0.000	21.65625	BEFORE
10.499753	0.000	0.000	21.6953125	BEFORE
10.999930	0.000	0.000	21.671875	BEFORE
11.499736	0.000	0.000	21.671875	BEFORE
11.999955	0.000	0.000	21.7421875	BEFORE
12.499733	0.000	0.000	21.6328125	BEFORE
12.999994	0.001	0.000	21.765625	BEFORE
13.499840	0.000	0.000	21.6953125	BEFORE
13.999996	0.000	0.000	21.6328125	BEFORE
14.499759	0.000	0.000	21.6328125	BEFORE
14.999946	0.000	0.000	21.7109375	BEFORE
15.500514	0.000	0.000	21.5625	BEFORE
15.999918	0.000	0.000	21.5078125	BEFORE
16.499924	0.000	0.000	21.546875	BEFORE
17.000091	0.000	0.000	21.6328125	BEFORE
17.505034	0.000	0.000	21.671875	BEFORE
17.999948	0.000	0.000	21.6953125	BEFORE
18.499923	0.001	0.000	21.546875	BEFORE
18.999975	0.000	0.000	21.6953125	BEFORE
19.499919	0.000	0.000	21.7109375	BEFORE
20.000076	0.000	0.000	21.5234375	BEFORE
20.499935	0.001	0.000	21.765625	BEFORE
20.999970	0.001	0.000	21.5625	BEFORE
21.499766	0.000	0.000	21.671875	BEFORE
22.000008	0.000	0.000	21.578125	BEFORE
22.502852	0.000	0.000	21.546875	BEFORE
22.999967	0.000	0.000	21.578125	BEFORE
23.499773	0.000	0.000	21.5625	BEFORE
23.999964	0.000	0.000	21.546875	BEFORE
24.504916	0.000	0.000	21.46875	BEFORE
24.999869	0.000	0.000	21.6953125	BEFORE
25.499876	0.000	0.000	21.5625	BEFORE
26.000017	0.000	0.000	21.5234375	BEFORE
26.499830	0.000	0.000	21.5078125	BEFORE
26.999931	0.000	0.000	21.578125	BEFORE
27.500055	0.000	0.000	21.6328125	BEFORE
27.999956	0.000	0.000	21.65625	BEFORE
28.499922	0.000	0.000	21.6328125	BEFORE
28.999945	0.000	0.000	21.6015625	BEFORE
29.499683	0.000	0.000	21.6015625	BEFORE
29.999960	0.001	0.000	21.7109375	BEFORE
30.500032	0.000	0.000	21.65625	BEFORE
30.999994	0.000	0.000	21.6328125	BEFORE
31.499762	0.000	0.000	21.65625	BEFORE
32.000005	0.000	0.000	21.7109375	BEFORE
32.503652	0.000	0.000	21.5078125	BEFORE
33.000002	0.000	0.000	21.578125	BEFORE
33.499735	0.000	0.000	21.46875	BEFORE
34.000003	0.000	0.000	21.5078125	BEFORE
34.499928	0.000	0.000	21.6015625	BEFORE
34.999959	0.000	0.000	21.6328125	BEFORE
35.499772	0.001	0.000	21.5078125	BEFORE
36.000105	0.000	0.000	21.546875	BEFORE
36.499806	0.000	0.000	21.5234375	BEFORE
36.999956	0.000	0.000	21.453125	BEFORE
37.500021	0.000	0.000	21.6328125	BEFORE
37.999983	0.000	0.000	21.6328125	BEFORE
38.499742	0.001	0.000	21.46875	BEFORE
38.999988	0.000	0.000	21.6953125	BEFORE
39.506207	0.000	0.000	21.671875	BEFORE
40.000000	0.000	0.000	21.546875	BEFORE
40.499753	0.001	0.000	21.5078125	BEFORE
40.999953	0.000	0.000	21.6015625	BEFORE
41.523749	0.000	0.000	21.5234375	BEFORE
41.999941	0.001	0.000	21.6015625	BEFORE
42.499760	0.000	0.000	21.6171875	BEFORE
43.000188	0.000	0.000	21.546875	BEFORE
43.499917	0.001	0.000	21.5234375	BEFORE
43.999969	0.000	0.000	21.578125	BEFORE
44.499747	0.000	0.000	21.5078125	BEFORE
44.999932	0.001	0.000	21.6328125	BEFORE
45.502443	0.001	0.000	21.6015625	BEFORE
45.999922	0.000	0.000	21.65625	BEFORE
46.502696	0.000	0.000	21.4921875	BEFORE
47.000003	0.000	0.000	21.6171875	BEFORE
47.499718	0.000	0.000	21.5078125	BEFORE
47.999947	0.001	0.000	21.6171875	BEFORE
48.500690	0.001	0.000	21.6015625	BEFORE
48.999930	0.001	0.000	21.6171875	BEFORE
49.499829	0.000	0.000	21.578125	BEFORE
49.999938	0.001	0.000	21.6328125	BEFORE
50.503253	0.000	0.000	21.65625	BEFORE
50.999938	0.000	0.000	21.453125	BEFORE
51.499925	0.000	0.000	21.6015625	BEFORE
52.000010	0.000	0.000	21.4375	BEFORE
52.499735	0.001	0.000	21.578125	BEFORE
52.999940	0.000	0.000	21.65625	BEFORE
53.499935	0.001	0.000	21.46875	BEFORE
53.999958	0.000	0.000	21.4921875	BEFORE
54.499944	0.001	0.000	21.578125	BEFORE
54.999978	0.000	0.000	21.6953125	BEFORE
55.499969	0.001	0.000	21.578125	BEFORE
55.999947	0.001	0.000	21.5234375	BEFORE
56.499756	0.001	0.000	21.5625	BEFORE
56.999968	0.000	0.000	21.6015625	BEFORE
57.502313	0.001	0.000	21.5234375	BEFORE
57.999986	0.001	0.000	21.453125	BEFORE
58.499826	0.000	0.000	21.5234375	BEFORE
58.999944	0.000	0.000	21.4921875	BEFORE
59.501944	0.000	0.000	21.5625	BEFORE
59.999992	0.001	0.000	21.5234375	BEFORE
60.999867	9.842	22.567	21.6171875	EXPOSING
61.499916	9.843	22.589	23.828125	EXPOSING
62.000603	9.844	22.603	25.453125	EXPOSING
62.499854	9.843	22.616	26.7890625	EXPOSING
62.999961	9.844	22.627	27.734375	EXPOSING
63.500087	9.843	22.636	28.6015625	EXPOSING
63.999974	9.844	22.642	29.3671875	EXPOSING
64.499812	9.843	22.649	30.109375	EXPOSING
64.999926	9.843	22.656	30.5625	EXPOSING
65.499810	9.842	22.661	31.1640625	EXPOSING
65.999930	9.844	22.667	31.5234375	EXPOSING
66.499767	9.844	22.673	31.9765625	EXPOSING
66.999925	9.844	22.676	32.1015625	EXPOSING
67.499922	9.843	22.681	32.5703125	EXPOSING
67.999985	9.844	22.687	32.8046875	EXPOSING
68.499921	9.844	22.690	33.1328125	EXPOSING
69.000699	9.843	22.696	33.3125	EXPOSING
69.499735	9.843	22.700	33.765625	EXPOSING
69.999965	9.844	22.705	33.8515625	EXPOSING
70.501384	9.844	22.707	34.109375	EXPOSING
70.999948	9.842	22.713	34.3203125	EXPOSING
71.499855	9.843	22.719	34.5	EXPOSING
71.999934	9.843	22.723	34.5	EXPOSING
72.504570	9.843	22.725	34.8203125	EXPOSING
72.999929	9.844	22.729	34.96875	EXPOSING
73.499840	9.844	22.734	35.125	EXPOSING
73.999922	9.843	22.738	35.203125	EXPOSING
74.499790	9.843	22.742	35.4921875	EXPOSING
74.999991	9.844	22.745	35.6171875	EXPOSING
75.503185	9.843	22.749	35.703125	EXPOSING
75.999972	9.843	22.753	35.7421875	EXPOSING
76.499861	9.844	22.757	36.046875	EXPOSING
76.999961	9.843	22.760	35.9921875	EXPOSING
77.505856	9.843	22.763	36.296875	EXPOSING
78.000005	9.843	22.766	36.2578125	EXPOSING
78.499794	9.843	22.770	36.4453125	EXPOSING
78.999942	9.843	22.773	36.515625	EXPOSING
79.499784	9.844	22.775	36.6171875	EXPOSING
79.999989	9.843	22.778	36.7265625	EXPOSING
80.499822	9.843	22.781	36.890625	EXPOSING
80.999925	9.843	22.785	37.0546875	EXPOSING
81.500071	9.843	22.788	37.1953125	EXPOSING
81.999942	9.843	22.790	37.1953125	EXPOSING
82.499910	9.843	22.792	37.3046875	EXPOSING
82.999972	9.843	22.794	37.4453125	EXPOSING
83.499845	9.844	22.797	37.4609375	EXPOSING
83.999939	9.843	22.800	37.515625	EXPOSING
84.499873	9.844	22.802	37.6640625	EXPOSING
84.999931	9.843	22.806	37.7265625	EXPOSING
85.499767	9.843	22.808	37.859375	EXPOSING
85.999999	9.843	22.810	37.9453125	EXPOSING
86.499927	9.845	22.813	37.8203125	EXPOSING
86.999969	9.844	22.815	38.0859375	EXPOSING
87.499797	9.843	22.817	38.125	EXPOSING
87.999924	9.844	22.819	38.0	EXPOSING
88.499823	9.843	22.821	38.25	EXPOSING
89.005065	9.843	22.822	38.265625	EXPOSING
89.499838	9.844	22.825	38.265625	EXPOSING
90.000006	9.843	22.826	38.375	EXPOSING
