#Resonance Frequency: 404000.000 kHz
#Set Current: 9.51 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000019	0.001	0.000	21.7421875	BEFORE
0.500294	0.001	0.000	21.859375	BEFORE
1.005218	0.001	0.000	21.859375	BEFORE
1.500273	0.000	0.000	21.890625	BEFORE
2.005470	0.001	0.000	21.9453125	BEFORE
2.500315	0.001	0.000	21.796875	BEFORE
3.001612	0.000	0.000	21.875	BEFORE
3.500304	0.000	0.000	21.875	BEFORE
4.000296	0.001	0.000	21.765625	BEFORE
4.500319	0.001	0.000	21.78125	BEFORE
5.005537	0.000	0.000	21.8359375	BEFORE
5.500323	0.001	0.000	21.890625	BEFORE
6.000299	0.000	0.000	21.890625	BEFORE
6.500318	0.001	0.000	21.796875	BEFORE
7.002202	0.001	0.000	21.796875	BEFORE
7.500318	0.001	0.000	21.8203125	BEFORE
8.000292	0.001	0.000	21.9296875	BEFORE
8.500291	0.001	0.000	21.9296875	BEFORE
9.000294	0.001	0.000	21.8203125	BEFORE
9.500303	0.001	0.000	21.7421875	BEFORE
10.000314	0.000	0.000	21.890625	BEFORE
10.500418	0.000	0.000	21.875	BEFORE
11.000304	0.001	0.000	21.890625	BEFORE
11.500346	0.001	0.000	21.78125	BEFORE
12.001750	0.001	0.000	21.9140625	BEFORE
12.500278	0.000	0.000	21.875	BEFORE
13.002983	0.001	0.000	21.8203125	BEFORE
13.500296	0.001	0.000	21.984375	BEFORE
14.000355	0.001	0.000	21.796875	BEFORE
14.500293	0.001	0.000	21.859375	BEFORE
15.000290	0.001	0.000	21.859375	BEFORE
15.500375	0.000	0.000	21.875	BEFORE
16.000301	0.000	0.000	21.796875	BEFORE
16.500295	0.001	0.000	21.9296875	BEFORE
17.001574	0.001	0.000	21.796875	BEFORE
17.500272	0.001	0.000	21.96875	BEFORE
18.001854	0.001	0.000	21.8203125	BEFORE
18.500301	0.001	0.000	21.875	BEFORE
19.003169	0.001	0.000	21.9140625	BEFORE
19.500351	0.000	0.000	21.984375	BEFORE
20.005435	0.001	0.000	21.890625	BEFORE
20.500279	0.001	0.000	21.859375	BEFORE
21.004571	0.001	0.000	21.765625	BEFORE
21.500320	0.001	0.000	21.890625	BEFORE
22.000307	0.000	0.000	21.78125	BEFORE
22.500287	0.000	0.000	21.765625	BEFORE
23.000300	0.001	0.000	21.7421875	BEFORE
23.500286	0.000	0.000	21.8203125	BEFORE
24.000442	0.001	0.000	21.8203125	BEFORE
24.500337	0.001	0.000	21.8203125	BEFORE
25.000287	0.001	0.000	21.890625	BEFORE
25.500311	0.001	0.000	21.890625	BEFORE
26.002295	0.000	0.000	21.875	BEFORE
26.500285	0.001	0.000	21.796875	BEFORE
27.004580	0.000	0.000	21.796875	BEFORE
27.500296	0.001	0.000	21.8203125	BEFORE
28.000298	0.001	0.000	21.765625	BEFORE
28.500299	0.001	0.000	21.859375	BEFORE
29.000311	0.001	0.000	21.765625	BEFORE
29.500286	0.001	0.000	21.765625	BEFORE
30.005453	0.001	0.000	21.875	BEFORE
30.500276	0.001	0.000	21.875	BEFORE
31.000980	0.001	0.000	21.859375	BEFORE
31.500317	0.000	0.000	21.8203125	BEFORE
32.004956	0.001	0.000	21.875	BEFORE
32.500307	0.001	0.000	21.8203125	BEFORE
33.000290	0.001	0.000	21.7265625	BEFORE
33.500311	0.001	0.000	21.7421875	BEFORE
34.000309	0.001	0.000	21.7421875	BEFORE
34.500351	0.000	0.000	21.796875	BEFORE
35.000288	0.001	0.000	21.6953125	BEFORE
35.500332	0.000	0.000	21.7265625	BEFORE
36.000302	0.001	0.000	21.78125	BEFORE
