#Resonance Frequency: 923000.000 kHz
#Set Current: 11.01 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000045	0.001	0.000	21.765625	BEFORE
1.000958	0.001	0.000	21.6875	BEFORE
2.001308	0.001	0.000	21.8515625	BEFORE
3.001121	0.001	0.000	21.765625	BEFORE
4.000721	0.001	0.000	21.6875	BEFORE
5.001443	0.001	0.000	21.6875	BEFORE
6.000653	0.001	0.000	21.765625	BEFORE
7.000624	0.001	0.000	21.765625	BEFORE
8.001899	0.002	0.000	21.765625	BEFORE
9.000610	0.001	0.000	21.6875	BEFORE
10.000690	0.001	0.000	21.765625	BEFORE
11.000613	0.001	0.000	21.8515625	BEFORE
12.005828	0.001	0.000	21.6875	BEFORE
13.000616	0.001	0.000	21.6875	BEFORE
14.042494	0.001	0.000	21.8515625	BEFORE
15.000527	0.001	0.000	21.765625	BEFORE
16.000607	0.001	0.000	21.6875	BEFORE
17.000676	0.001	0.000	21.6015625	BEFORE
18.000617	0.001	0.000	21.6875	BEFORE
19.000612	0.001	0.000	21.8515625	BEFORE
20.000616	0.001	0.000	21.515625	BEFORE
21.005752	0.001	0.000	21.6875	BEFORE
22.000625	0.002	0.000	21.6015625	BEFORE
23.000699	0.001	0.000	21.6875	BEFORE
24.000615	0.001	0.000	21.6875	BEFORE
25.000608	0.001	0.000	21.6875	BEFORE
26.000715	0.001	0.000	21.515625	BEFORE
27.000602	0.001	0.000	21.6015625	BEFORE
28.000634	0.001	0.000	21.515625	BEFORE
29.000618	0.001	0.000	21.6875	BEFORE
30.004743	0.002	0.000	21.765625	BEFORE
31.000604	0.001	0.000	21.6875	BEFORE
32.000619	0.001	0.000	21.6015625	BEFORE
33.001269	0.002	0.000	21.515625	BEFORE
34.000626	0.001	0.000	21.515625	BEFORE
35.003329	0.001	0.000	21.6015625	BEFORE
36.000710	0.001	0.000	21.6015625	BEFORE
37.000623	0.001	0.000	21.515625	BEFORE
38.000622	0.001	0.000	21.6015625	BEFORE
39.000675	0.002	0.000	21.4375	BEFORE
40.000719	0.001	0.000	21.515625	BEFORE
41.000633	0.001	0.000	21.6015625	BEFORE
42.000618	0.001	0.000	21.6015625	BEFORE
43.003904	0.002	0.000	21.515625	BEFORE
44.000611	0.002	0.000	21.6015625	BEFORE
45.000674	0.001	0.000	21.515625	BEFORE
46.000627	0.001	0.000	21.515625	BEFORE
47.005776	0.001	0.000	21.515625	BEFORE
48.000625	0.001	0.000	21.6875	BEFORE
49.000612	0.002	0.000	21.6015625	BEFORE
50.005785	0.001	0.000	21.515625	BEFORE
51.000606	0.001	0.000	21.515625	BEFORE
52.000632	0.002	0.000	21.515625	BEFORE
53.000617	0.001	0.000	21.515625	BEFORE
54.000705	0.001	0.000	21.4375	BEFORE
55.000617	0.001	0.000	21.515625	BEFORE
56.000624	0.002	0.000	21.515625	BEFORE
57.005762	0.001	0.000	21.515625	BEFORE
58.000614	0.001	0.000	21.4375	BEFORE
59.005847	0.001	0.000	21.515625	BEFORE
60.000607	0.001	0.000	21.4375	BEFORE
61.000206	11.002	30.537	21.515625	EXPOSING
62.000623	11.004	30.630	44.375	EXPOSING
63.000615	11.004	30.707	54.0546875	EXPOSING
64.000613	11.004	30.768	58.390625	EXPOSING
65.000625	11.004	30.830	61.15625	EXPOSING
66.000674	11.004	30.888	63.03125	EXPOSING
67.000672	11.005	30.939	64.6796875	EXPOSING
68.000601	11.004	30.996	65.8984375	EXPOSING
69.000614	11.004	31.053	67.25	EXPOSING
70.000738	11.005	31.097	68.25	EXPOSING
71.000628	11.004	31.140	69.09375	EXPOSING
72.003001	11.004	31.183	69.9453125	EXPOSING
73.000613	11.005	31.224	70.71875	EXPOSING
74.005744	11.005	31.267	71.4921875	EXPOSING
75.000611	11.004	31.304	72.1953125	EXPOSING
76.000616	11.005	31.341	72.75	EXPOSING
77.000608	11.004	31.369	73.453125	EXPOSING
78.000632	11.005	31.401	74.078125	EXPOSING
79.000606	11.004	31.431	74.421875	EXPOSING
80.000668	11.005	31.455	75.046875	EXPOSING
81.000664	11.004	31.486	75.6015625	EXPOSING
82.000705	11.005	31.508	76.0234375	EXPOSING
83.015879	11.004	31.529	76.5078125	EXPOSING
84.000556	11.004	31.555	76.921875	EXPOSING
85.000828	11.004	31.577	77.3359375	EXPOSING
86.000627	11.004	31.597	77.75	EXPOSING
87.000611	11.004	31.617	78.2265625	EXPOSING
88.000684	11.005	31.636	78.7109375	EXPOSING
89.000616	11.004	31.656	78.9140625	EXPOSING
90.000677	11.004	31.671	79.2578125	EXPOSING
91.000612	11.004	31.689	79.6015625	EXPOSING
92.000614	11.004	31.706	79.875	EXPOSING
93.000611	11.004	31.720	80.2890625	EXPOSING
94.000622	11.004	31.734	80.6328125	EXPOSING
95.010926	11.004	31.749	80.8984375	EXPOSING
96.000591	11.004	31.759	81.171875	EXPOSING
97.005746	11.005	31.774	81.65625	EXPOSING
98.000626	11.005	31.785	81.7890625	EXPOSING
99.000625	11.004	31.798	82.0625	EXPOSING
100.000624	11.004	31.811	82.3984375	EXPOSING
101.000612	11.004	31.821	82.6015625	EXPOSING
102.003480	11.005	31.834	82.8125	EXPOSING
103.000601	11.004	31.840	83.078125	EXPOSING
104.000592	11.004	31.850	83.21875	EXPOSING
105.000633	11.005	31.860	83.5546875	EXPOSING
106.000619	11.005	31.866	83.828125	EXPOSING
107.000606	11.004	31.877	84.09375	EXPOSING
108.000630	11.005	31.886	84.09375	EXPOSING
109.000624	11.004	31.890	84.4375	EXPOSING
110.004166	11.004	31.901	84.640625	EXPOSING
111.000601	11.004	31.908	84.7734375	EXPOSING
112.000665	11.005	31.915	85.109375	EXPOSING
113.000627	11.004	31.922	85.3125	EXPOSING
114.000616	11.004	31.933	85.4453125	EXPOSING
115.000617	11.005	31.940	85.71875	EXPOSING
116.000620	11.005	31.947	85.7890625	EXPOSING
117.000626	11.004	31.956	85.921875	EXPOSING
118.000633	11.004	31.964	86.125	EXPOSING
119.000681	11.004	31.972	86.390625	EXPOSING
120.000612	11.004	31.979	86.4609375	EXPOSING
121.000196	0.002	0.000	83.28125	WAIT
122.000619	0.002	0.000	56.6328125	WAIT
123.000610	0.001	0.000	48.46875	WAIT
124.000610	0.002	0.000	44.609375	WAIT
125.000798	0.001	0.000	42.078125	WAIT
126.005757	0.001	0.000	40.4609375	WAIT
127.000598	0.001	0.000	39.140625	WAIT
128.000619	0.001	0.000	38.125	WAIT
129.000610	0.001	0.000	37.265625	WAIT
130.000622	0.001	0.000	36.640625	WAIT
131.000622	0.001	0.000	35.8515625	WAIT
132.000611	0.001	0.000	35.3828125	WAIT
133.000716	0.001	0.000	34.90625	WAIT
134.001662	0.001	0.000	34.3515625	WAIT
135.000612	0.001	0.000	33.796875	WAIT
136.000624	0.001	0.000	33.5625	WAIT
137.000704	0.002	0.000	33.0859375	WAIT
138.000617	0.001	0.000	32.84375	WAIT
139.000612	0.001	0.000	32.3671875	WAIT
140.000609	0.001	0.000	32.046875	WAIT
141.000605	0.001	0.000	31.8046875	WAIT
142.005756	0.001	0.000	31.6484375	WAIT
143.000609	0.001	0.000	31.40625	WAIT
144.000610	0.002	0.000	31.1640625	WAIT
145.000624	0.002	0.000	30.921875	WAIT
146.000656	0.001	0.000	30.6796875	WAIT
147.000625	0.001	0.000	30.359375	WAIT
148.000617	0.001	0.000	30.28125	WAIT
149.005761	0.001	0.000	30.0390625	WAIT
150.000609	0.001	0.000	29.875	WAIT
151.002644	0.001	0.000	29.71875	WAIT
152.010485	0.002	0.000	29.6328125	WAIT
153.000570	0.001	0.000	29.3125	WAIT
154.000837	0.001	0.000	29.234375	WAIT
155.000783	0.001	0.000	29.1484375	WAIT
156.001305	0.001	0.000	28.984375	WAIT
157.000618	0.001	0.000	28.7421875	WAIT
158.003792	0.001	0.000	28.6640625	WAIT
159.000614	0.001	0.000	28.5859375	WAIT
160.000610	0.001	0.000	28.421875	WAIT
161.000621	0.001	0.000	28.3359375	WAIT
162.000616	0.002	0.000	28.1796875	WAIT
163.005723	0.001	0.000	28.1796875	WAIT
164.002961	0.001	0.000	27.8515625	WAIT
165.000603	0.002	0.000	27.8515625	WAIT
166.000614	0.001	0.000	27.6875	WAIT
167.000633	0.002	0.000	27.5234375	WAIT
168.000614	0.002	0.000	27.4453125	WAIT
169.005829	0.001	0.000	27.359375	WAIT
170.000948	0.002	0.000	27.203125	WAIT
171.003413	0.001	0.000	27.359375	WAIT
172.000612	0.001	0.000	26.953125	WAIT
173.000616	0.002	0.000	27.0390625	WAIT
174.000633	0.002	0.000	26.953125	WAIT
175.000664	0.002	0.000	27.0390625	WAIT
176.000595	0.002	0.000	26.875	WAIT
177.000614	0.002	0.000	26.7890625	WAIT
178.003557	0.002	0.000	26.625	WAIT
179.000622	0.002	0.000	26.546875	WAIT
180.000690	0.002	0.000	26.4609375	WAIT
181.000624	0.002	0.000	26.4609375	WAIT
182.006536	0.002	0.000	26.3828125	WAIT
183.000606	0.002	0.000	26.296875	WAIT
184.000614	0.001	0.000	26.296875	WAIT
185.000623	0.001	0.000	26.140625	WAIT
186.001034	0.001	0.000	26.140625	WAIT
187.000605	0.001	0.000	26.140625	WAIT
188.000612	0.001	0.000	26.0546875	WAIT
189.000628	0.001	0.000	26.0546875	WAIT
190.000611	0.001	0.000	25.8125	WAIT
191.005764	0.002	0.000	25.9765625	WAIT
192.000620	0.001	0.000	25.7265625	WAIT
193.002563	0.001	0.000	25.890625	WAIT
194.000608	0.001	0.000	25.7265625	WAIT
195.000619	0.001	0.000	25.5625	WAIT
