#Resonance Frequency: 922500.000 kHz
#Set Current: 11.01 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000034	0.000	0.000	26.9140625	BEFORE
0.499973	0.001	0.000	26.953125	BEFORE
0.999821	0.000	0.000	26.9296875	BEFORE
1.500119	0.000	0.000	26.859375	BEFORE
1.999871	0.001	0.000	26.953125	BEFORE
2.500005	0.001	0.000	26.875	BEFORE
2.999974	0.000	0.000	26.875	BEFORE
3.499969	0.001	0.000	26.75	BEFORE
3.999796	0.001	0.000	26.9140625	BEFORE
4.499955	0.001	0.000	26.9140625	BEFORE
4.999740	0.001	0.000	26.875	BEFORE
5.499960	0.001	0.000	26.734375	BEFORE
5.999963	0.001	0.000	26.7109375	BEFORE
6.500089	0.002	0.000	26.8203125	BEFORE
6.999765	0.001	0.000	26.75	BEFORE
7.500036	0.000	0.000	26.8203125	BEFORE
7.999733	0.001	0.000	26.8046875	BEFORE
8.505115	0.001	0.000	26.75	BEFORE
8.999840	0.001	0.000	26.75	BEFORE
9.499983	0.001	0.000	26.6953125	BEFORE
9.999712	0.001	0.000	26.65625	BEFORE
10.499974	0.001	0.000	26.65625	BEFORE
10.999760	0.001	0.000	26.7109375	BEFORE
11.500106	0.001	0.000	26.734375	BEFORE
11.999771	0.000	0.000	26.53125	BEFORE
12.499959	0.001	0.000	26.5859375	BEFORE
12.999809	0.001	0.000	26.546875	BEFORE
13.499959	0.001	0.000	26.5703125	BEFORE
14.004927	0.001	0.000	26.5703125	BEFORE
14.499991	0.001	0.000	26.53125	BEFORE
14.999808	0.001	0.000	26.5859375	BEFORE
15.500180	0.000	0.000	26.4921875	BEFORE
15.999758	0.001	0.000	26.6015625	BEFORE
16.505219	0.001	0.000	26.421875	BEFORE
16.999825	0.002	0.000	26.4921875	BEFORE
17.500044	0.001	0.000	26.4921875	BEFORE
17.999961	0.001	0.000	26.3671875	BEFORE
18.499984	0.001	0.000	26.40625	BEFORE
18.999834	0.002	0.000	26.515625	BEFORE
19.499973	0.001	0.000	26.4921875	BEFORE
19.999702	0.001	0.000	26.390625	BEFORE
20.499957	0.000	0.000	26.4921875	BEFORE
20.999877	0.001	0.000	26.546875	BEFORE
21.499970	0.001	0.000	26.390625	BEFORE
21.999819	0.001	0.000	26.421875	BEFORE
22.499966	0.000	0.000	26.4765625	BEFORE
22.999740	0.001	0.000	26.3671875	BEFORE
23.500040	0.001	0.000	26.3671875	BEFORE
23.999884	0.001	0.000	26.3671875	BEFORE
24.500041	0.001	0.000	26.296875	BEFORE
25.002000	0.001	0.000	26.3125	BEFORE
25.499978	0.001	0.000	26.2578125	BEFORE
25.999825	0.000	0.000	26.3125	BEFORE
26.499973	0.001	0.000	26.1484375	BEFORE
26.999809	0.001	0.000	26.296875	BEFORE
27.499977	0.001	0.000	26.2734375	BEFORE
27.999866	0.001	0.000	26.3125	BEFORE
28.499959	0.001	0.000	26.203125	BEFORE
29.004893	0.001	0.000	26.203125	BEFORE
29.499948	0.000	0.000	26.1875	BEFORE
29.999916	0.000	0.000	26.2578125	BEFORE
30.499997	0.001	0.000	26.1484375	BEFORE
30.999799	0.001	0.000	26.21875	BEFORE
31.505067	0.000	0.000	26.1875	BEFORE
31.999825	0.001	0.000	26.1875	BEFORE
32.499967	0.001	0.000	26.2421875	BEFORE
32.999799	0.001	0.000	26.21875	BEFORE
33.499956	0.000	0.000	26.1640625	BEFORE
33.999959	0.002	0.000	26.203125	BEFORE
34.500049	0.000	0.000	26.109375	BEFORE
34.999783	0.000	0.000	26.09375	BEFORE
35.500033	0.001	0.000	26.0078125	BEFORE
35.999713	0.001	0.000	26.0234375	BEFORE
36.499986	0.001	0.000	26.0390625	BEFORE
36.999765	0.001	0.000	26.0078125	BEFORE
37.499981	0.000	0.000	25.984375	BEFORE
37.999732	0.001	0.000	26.0078125	BEFORE
38.505091	0.000	0.000	26.0546875	BEFORE
38.999765	0.001	0.000	26.0078125	BEFORE
39.499966	0.001	0.000	25.9296875	BEFORE
39.999864	0.001	0.000	26.0078125	BEFORE
40.500028	0.001	0.000	26.0078125	BEFORE
40.999802	0.001	0.000	25.984375	BEFORE
41.500801	0.001	0.000	25.953125	BEFORE
41.999768	0.001	0.000	25.875	BEFORE
42.500049	0.001	0.000	26.0078125	BEFORE
43.500080	0.001	0.000	25.953125	BEFORE
43.999868	0.001	0.000	25.9296875	BEFORE
44.499959	0.001	0.000	25.890625	BEFORE
45.004894	0.001	0.000	25.9296875	BEFORE
45.500219	0.001	0.000	25.859375	BEFORE
45.999757	0.001	0.000	25.875	BEFORE
46.500031	0.000	0.000	25.875	BEFORE
46.999895	0.001	0.000	25.859375	BEFORE
47.500055	0.001	0.000	25.8359375	BEFORE
47.999853	0.001	0.000	25.75	BEFORE
48.500033	0.001	0.000	25.875	BEFORE
48.999923	0.002	0.000	25.8203125	BEFORE
49.499987	0.000	0.000	25.8046875	BEFORE
49.999778	0.001	0.000	25.6953125	BEFORE
50.500048	0.001	0.000	25.9296875	BEFORE
50.999761	0.001	0.000	25.765625	BEFORE
51.499979	0.001	0.000	25.8046875	BEFORE
51.999828	0.001	0.000	25.78125	BEFORE
52.500024	0.002	0.000	25.65625	BEFORE
52.999800	0.001	0.000	25.75	BEFORE
53.505162	0.001	0.000	25.765625	BEFORE
53.999747	0.001	0.000	25.75	BEFORE
54.500047	0.001	0.000	25.8203125	BEFORE
54.999751	0.001	0.000	25.7109375	BEFORE
55.500260	0.001	0.000	25.65625	BEFORE
55.999823	0.001	0.000	25.640625	BEFORE
56.499988	0.001	0.000	25.6796875	BEFORE
56.999774	0.001	0.000	25.5859375	BEFORE
57.500374	0.001	0.000	25.640625	BEFORE
57.999857	0.002	0.000	25.5859375	BEFORE
58.499969	0.001	0.000	25.6796875	BEFORE
58.999835	0.001	0.000	25.5859375	BEFORE
59.499969	0.001	0.000	25.5859375	BEFORE
59.999847	0.001	0.000	25.7109375	BEFORE
61.000038	11.002	30.169	25.4765625	EXPOSING
61.500012	-1	-1	-274	ERROR
61.999818	-1	-1	-274	ERROR
62.500031	-1	-1	-274	ERROR
62.999829	-1	-1	-274	ERROR
63.500001	-1	-1	-274	ERROR
63.999922	-1	-1	-274	ERROR
64.499978	-1	-1	-274	ERROR
64.999840	-1	-1	-274	ERROR
65.499988	-1	-1	-274	ERROR
65.999789	-1	-1	-274	ERROR
66.499947	-1	-1	-274	ERROR
66.999958	-1	-1	-274	ERROR
67.500071	-1	-1	-274	ERROR
67.999795	-1	-1	-274	ERROR
68.500089	-1	-1	-274	ERROR
68.999972	-1	-1	-274	ERROR
69.499974	-1	-1	-274	ERROR
69.999948	-1	-1	-274	ERROR
71.000008	0.000	0.000	42.234375	WAIT
71.499967	0.001	0.000	37.7109375	WAIT
71.999871	0.001	0.000	36.2265625	WAIT
72.499980	0.001	0.000	35.34375	WAIT
72.999950	0.001	0.000	34.7890625	WAIT
73.501361	0.000	0.000	34.390625	WAIT
73.999958	0.000	0.000	33.78125	WAIT
75.000051	11.003	30.577	33.4921875	EXPOSING
75.504857	-1	-1	-274	ERROR
75.999870	-1	-1	-274	ERROR
76.500027	-1	-1	-274	ERROR
76.999830	-1	-1	-274	ERROR
77.500063	-1	-1	-274	ERROR
77.999799	-1	-1	-274	ERROR
78.499994	-1	-1	-274	ERROR
78.999819	-1	-1	-274	ERROR
79.499987	-1	-1	-274	ERROR
79.999859	-1	-1	-274	ERROR
80.499962	-1	-1	-274	ERROR
80.999844	-1	-1	-274	ERROR
81.500146	-1	-1	-274	ERROR
81.999745	-1	-1	-274	ERROR
82.499981	-1	-1	-274	ERROR
83.001914	-1	-1	-274	ERROR
83.500024	-1	-1	-274	ERROR
83.999823	-1	-1	-274	ERROR
85.000037	0.002	0.000	47.4375	WAIT
85.499978	0.001	0.000	42.4296875	WAIT
86.004931	0.001	0.000	40.6953125	WAIT
86.499974	0.001	0.000	39.9765625	WAIT
86.999864	0.001	0.000	39.125	WAIT
87.499960	0.001	0.000	38.609375	WAIT
88.499887	11.002	32.279	37.859375	EXPOSING
88.999821	-1	-1	-274	ERROR
89.499942	-1	-1	-274	ERROR
90.000027	-1	-1	-274	ERROR
90.499950	-1	-1	-274	ERROR
91.004956	-1	-1	-274	ERROR
91.499945	-1	-1	-274	ERROR
91.999855	-1	-1	-274	ERROR
92.499980	-1	-1	-274	ERROR
92.999774	-1	-1	-274	ERROR
93.499949	-1	-1	-274	ERROR
93.999851	-1	-1	-274	ERROR
94.499981	-1	-1	-274	ERROR
94.999852	-1	-1	-274	ERROR
95.499948	-1	-1	-274	ERROR
95.999804	-1	-1	-274	ERROR
96.505075	-1	-1	-274	ERROR
96.999879	-1	-1	-274	ERROR
97.499977	-1	-1	-274	ERROR
97.999831	-1	-1	-274	ERROR
99.000026	0.001	0.000	50.796875	WAIT
99.500020	0.002	0.000	45.5859375	WAIT
