#Resonance Frequency: 160500.000 kHz
#Set Current: 24.21 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000033	0.001	0.000	43.40625	BEFORE
0.500324	0.001	0.000	43.28125	BEFORE
1.002983	0.001	0.000	43.40625	BEFORE
1.500332	0.002	0.000	43.390625	BEFORE
2.005456	0.002	0.000	43.3203125	BEFORE
2.500361	0.002	0.000	43.2265625	BEFORE
3.005497	0.002	0.000	43.2265625	BEFORE
3.500356	0.002	0.000	43.2109375	BEFORE
4.002841	0.002	0.000	43.125	BEFORE
4.500339	0.002	0.000	43.1015625	BEFORE
5.005476	0.001	0.000	42.90625	BEFORE
5.500308	0.002	0.000	42.859375	BEFORE
6.000606	0.002	0.000	42.890625	BEFORE
6.500285	0.002	0.000	42.8046875	BEFORE
7.005452	0.001	0.000	42.8359375	BEFORE
7.500303	0.001	0.000	42.6953125	BEFORE
8.002117	0.001	0.000	42.625	BEFORE
8.500323	0.001	0.000	42.6796875	BEFORE
9.005408	0.002	0.000	42.5546875	BEFORE
9.500301	0.002	0.000	42.5	BEFORE
10.051045	0.002	0.000	42.4296875	BEFORE
10.500201	0.002	0.000	42.390625	BEFORE
11.008028	0.002	0.000	42.4296875	BEFORE
11.500446	0.002	0.000	42.4140625	BEFORE
12.003774	0.002	0.000	42.375	BEFORE
12.500336	0.002	0.000	42.3046875	BEFORE
13.001025	0.002	0.000	42.171875	BEFORE
13.500306	0.002	0.000	42.25	BEFORE
14.005547	0.002	0.000	42.171875	BEFORE
14.500290	0.001	0.000	42.1328125	BEFORE
15.004960	0.001	0.000	42.046875	BEFORE
15.500283	0.002	0.000	41.9375	BEFORE
16.005478	0.002	0.000	42.0625	BEFORE
16.500428	0.002	0.000	41.8671875	BEFORE
17.003374	0.002	0.000	41.9765625	BEFORE
17.500390	0.001	0.000	41.8671875	BEFORE
18.005480	0.002	0.000	41.7421875	BEFORE
18.500294	0.002	0.000	41.796875	BEFORE
19.001531	0.001	0.000	41.65625	BEFORE
19.500316	0.002	0.000	41.671875	BEFORE
20.005469	0.002	0.000	41.7109375	BEFORE
20.500287	0.002	0.000	41.546875	BEFORE
21.005383	0.002	0.000	41.546875	BEFORE
21.500300	0.001	0.000	41.515625	BEFORE
22.005491	0.002	0.000	41.515625	BEFORE
22.500304	0.002	0.000	41.3671875	BEFORE
23.004205	0.002	0.000	41.4453125	BEFORE
23.500488	0.001	0.000	41.3515625	BEFORE
24.005476	0.002	0.000	41.265625	BEFORE
24.500299	0.002	0.000	41.15625	BEFORE
25.005497	0.001	0.000	41.15625	BEFORE
25.500304	0.002	0.000	41.0625	BEFORE
26.001121	0.002	0.000	41.140625	BEFORE
26.500315	0.002	0.000	41.0859375	BEFORE
27.005118	0.002	0.000	40.9453125	BEFORE
27.500279	0.002	0.000	41.0	BEFORE
28.002243	0.002	0.000	40.984375	BEFORE
28.500301	0.001	0.000	40.78125	BEFORE
29.005549	0.001	0.000	40.890625	BEFORE
29.500298	0.002	0.000	40.78125	BEFORE
30.002537	0.002	0.000	40.796875	BEFORE
30.500304	0.002	0.000	40.6015625	BEFORE
31.005471	0.002	0.000	40.6953125	BEFORE
31.500316	0.002	0.000	40.5703125	BEFORE
32.005310	0.001	0.000	40.46875	BEFORE
32.500308	0.002	0.000	40.625	BEFORE
33.005468	0.001	0.000	40.5703125	BEFORE
33.500304	0.002	0.000	40.4765625	BEFORE
34.002557	0.002	0.000	40.390625	BEFORE
34.500299	0.001	0.000	40.265625	BEFORE
35.005432	0.001	0.000	40.265625	BEFORE
35.500341	0.002	0.000	40.265625	BEFORE
36.006101	0.001	0.000	40.265625	BEFORE
36.500355	0.002	0.000	40.265625	BEFORE
37.005438	0.001	0.000	40.2109375	BEFORE
37.500331	0.002	0.000	40.0859375	BEFORE
38.000849	0.002	0.000	40.0859375	BEFORE
38.500285	0.002	0.000	40.0859375	BEFORE
39.005442	0.002	0.000	39.9765625	BEFORE
39.500294	0.001	0.000	39.875	BEFORE
40.002354	0.002	0.000	39.890625	BEFORE
40.500304	0.002	0.000	39.875	BEFORE
41.005445	0.001	0.000	39.8359375	BEFORE
41.500351	0.001	0.000	39.8203125	BEFORE
42.005917	0.002	0.000	39.7109375	BEFORE
42.500357	0.002	0.000	39.6953125	BEFORE
43.004121	0.002	0.000	39.5546875	BEFORE
43.500304	0.002	0.000	39.6796875	BEFORE
44.005445	0.002	0.000	39.59375	BEFORE
44.500287	0.002	0.000	39.59375	BEFORE
45.003252	0.002	0.000	39.59375	BEFORE
45.500283	0.002	0.000	39.4453125	BEFORE
46.005517	0.001	0.000	39.359375	BEFORE
46.500362	0.001	0.000	39.40625	BEFORE
47.001129	0.001	0.000	39.3203125	BEFORE
47.500298	0.002	0.000	39.3046875	BEFORE
48.005564	0.001	0.000	39.359375	BEFORE
48.500360	0.002	0.000	39.15625	BEFORE
49.001270	0.002	0.000	39.140625	BEFORE
49.500387	0.002	0.000	39.15625	BEFORE
50.005446	0.002	0.000	39.125	BEFORE
50.500322	0.002	0.000	39.140625	BEFORE
51.005045	0.002	0.000	39.0546875	BEFORE
51.505498	0.001	0.000	39.015625	BEFORE
52.005421	0.001	0.000	38.9609375	BEFORE
52.500286	0.002	0.000	38.8515625	BEFORE
53.005460	0.002	0.000	38.8515625	BEFORE
53.500296	0.001	0.000	38.90625	BEFORE
54.003606	0.002	0.000	38.7890625	BEFORE
54.500304	0.001	0.000	38.8359375	BEFORE
55.005416	0.002	0.000	38.71875	BEFORE
55.500411	0.001	0.000	38.6640625	BEFORE
56.005477	0.002	0.000	38.6796875	BEFORE
56.500373	0.002	0.000	38.625	BEFORE
57.001317	0.002	0.000	38.5859375	BEFORE
57.500468	0.002	0.000	38.5546875	BEFORE
58.003029	0.002	0.000	38.5390625	BEFORE
58.500293	0.002	0.000	38.5234375	BEFORE
59.005423	0.001	0.000	38.5390625	BEFORE
59.500298	0.002	0.000	38.4140625	BEFORE
60.005955	0.002	0.000	38.4453125	BEFORE
61.005458	24.137	33.372	38.359375	EXPOSING
61.500317	24.138	33.512	41.3671875	EXPOSING
62.001404	24.140	33.607	43.4375	EXPOSING
62.500293	24.140	33.691	45.53125	EXPOSING
63.005509	24.140	33.739	47.71875	EXPOSING
63.500365	24.140	33.798	49.7421875	EXPOSING
64.001274	24.141	33.841	51.640625	EXPOSING
64.500357	24.140	33.871	53.5546875	EXPOSING
65.005445	24.140	33.904	55.4453125	EXPOSING
65.500354	24.140	33.938	57.3671875	EXPOSING
66.002181	24.141	33.948	59.015625	EXPOSING
66.500401	24.140	33.966	60.6015625	EXPOSING
67.000354	24.140	33.985	62.0234375	EXPOSING
67.500350	24.140	33.993	63.4296875	EXPOSING
68.006963	24.140	34.007	64.71875	EXPOSING
68.500309	24.140	34.025	66.015625	EXPOSING
69.003678	24.140	34.038	67.25	EXPOSING
69.500297	24.140	34.048	68.5078125	EXPOSING
70.005466	24.142	34.056	69.625	EXPOSING
71.000411	0.019	0.006	70.6015625	WAIT
71.500307	0.018	0.003	67.90625	WAIT
72.005445	0.018	0.002	66.7734375	WAIT
72.500420	0.018	0.002	65.671875	WAIT
73.005499	0.002	0.000	64.7421875	WAIT
73.500360	0.002	0.000	63.8046875	WAIT
74.004870	0.002	0.000	62.796875	WAIT
75.005485	24.139	33.609	61.9921875	EXPOSING
75.500314	24.139	33.719	64.1328125	EXPOSING
76.005459	24.141	33.798	65.7578125	EXPOSING
76.500278	24.140	33.835	67.53125	EXPOSING
77.002147	24.142	33.890	68.8515625	EXPOSING
77.500314	24.141	33.938	70.4296875	EXPOSING
