#Resonance Frequency: 160500.000 kHz
#Set Current: 27.23 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000029	0.001	0.000	32.4453125	BEFORE
0.503103	0.002	0.000	32.3359375	BEFORE
1.000095	0.001	0.000	32.265625	BEFORE
1.505146	0.001	0.000	32.3515625	BEFORE
2.000057	0.001	0.000	32.390625	BEFORE
2.505174	0.001	0.000	32.4296875	BEFORE
3.000002	0.001	0.000	32.3515625	BEFORE
3.505155	0.001	0.000	32.28125	BEFORE
4.000011	0.001	0.000	32.28125	BEFORE
4.505236	0.001	0.000	32.28125	BEFORE
5.000012	0.001	0.000	32.2265625	BEFORE
5.504811	0.001	0.000	32.2265625	BEFORE
5.999969	0.001	0.000	32.265625	BEFORE
6.505139	0.001	0.000	32.265625	BEFORE
6.999987	0.001	0.000	32.15625	BEFORE
7.507620	0.001	0.000	32.2265625	BEFORE
8.000035	0.001	0.000	32.1171875	BEFORE
8.505152	0.001	0.000	32.1171875	BEFORE
8.999993	0.001	0.000	32.0078125	BEFORE
9.505182	0.001	0.000	31.9765625	BEFORE
10.000158	0.001	0.000	32.046875	BEFORE
10.500541	0.002	0.000	32.140625	BEFORE
11.000059	0.001	0.000	31.921875	BEFORE
11.505161	0.001	0.000	31.9921875	BEFORE
12.000063	0.001	0.000	31.90625	BEFORE
12.510277	0.001	0.000	31.90625	BEFORE
13.000015	0.001	0.000	31.90625	BEFORE
13.500376	0.001	0.000	31.7578125	BEFORE
13.999996	0.001	0.000	31.8125	BEFORE
14.505137	0.001	0.000	31.8671875	BEFORE
14.999990	0.001	0.000	31.90625	BEFORE
15.504103	0.001	0.000	31.6875	BEFORE
15.999971	0.001	0.000	31.703125	BEFORE
16.505186	0.001	0.000	31.703125	BEFORE
16.999996	0.001	0.000	31.8515625	BEFORE
17.502946	0.001	0.000	31.7578125	BEFORE
18.000219	0.001	0.000	31.703125	BEFORE
18.505161	0.001	0.000	31.6875	BEFORE
19.000021	0.001	0.000	31.7421875	BEFORE
19.505136	0.001	0.000	31.5625	BEFORE
19.999986	0.001	0.000	31.59375	BEFORE
20.500271	0.001	0.000	31.578125	BEFORE
20.999996	0.001	0.000	31.609375	BEFORE
21.505196	0.001	0.000	31.6328125	BEFORE
21.999996	0.001	0.000	31.5234375	BEFORE
22.505129	0.001	0.000	31.5078125	BEFORE
22.999964	0.001	0.000	31.3984375	BEFORE
23.504602	0.001	0.000	31.484375	BEFORE
23.999979	0.001	0.000	31.5390625	BEFORE
24.505174	0.001	0.000	31.46875	BEFORE
25.000193	0.001	0.000	31.3203125	BEFORE
25.510267	0.001	0.000	31.34375	BEFORE
26.000012	0.001	0.000	31.46875	BEFORE
26.505139	0.001	0.000	31.4296875	BEFORE
27.000008	0.001	0.000	31.375	BEFORE
27.501477	0.001	0.000	31.375	BEFORE
27.999974	0.001	0.000	31.3203125	BEFORE
28.505181	0.001	0.000	31.2734375	BEFORE
28.999992	0.001	0.000	31.4140625	BEFORE
29.502494	0.001	0.000	31.25	BEFORE
29.999969	0.001	0.000	31.1953125	BEFORE
30.505171	0.001	0.000	31.2734375	BEFORE
31.000004	0.001	0.000	31.1953125	BEFORE
31.501820	0.001	0.000	31.125	BEFORE
32.000003	0.001	0.000	31.1640625	BEFORE
32.505224	0.001	0.000	31.1796875	BEFORE
33.000000	0.001	0.000	31.109375	BEFORE
33.505140	0.001	0.000	31.0703125	BEFORE
34.000087	0.001	0.000	31.0546875	BEFORE
34.500508	0.001	0.000	31.0	BEFORE
35.000076	0.001	0.000	31.125	BEFORE
35.505178	0.001	0.000	31.03125	BEFORE
36.000065	0.001	0.000	31.0	BEFORE
36.503351	0.001	0.000	31.140625	BEFORE
36.999983	0.002	0.000	30.875	BEFORE
37.505190	0.001	0.000	30.9609375	BEFORE
38.000068	0.001	0.000	31.015625	BEFORE
38.500312	0.001	0.000	30.9296875	BEFORE
38.999978	0.001	0.000	30.890625	BEFORE
39.505216	0.001	0.000	30.90625	BEFORE
40.000000	0.001	0.000	30.890625	BEFORE
40.505179	0.001	0.000	30.78125	BEFORE
40.999972	0.001	0.000	30.796875	BEFORE
41.502878	0.001	0.000	30.765625	BEFORE
42.000024	0.001	0.000	30.8515625	BEFORE
42.503333	0.001	0.000	30.7421875	BEFORE
43.000022	0.001	0.000	30.765625	BEFORE
43.505152	0.001	0.000	30.7421875	BEFORE
43.999998	0.001	0.000	30.7265625	BEFORE
44.502582	0.001	0.000	30.7421875	BEFORE
44.999971	0.001	0.000	30.7421875	BEFORE
45.505146	0.001	0.000	30.6328125	BEFORE
45.999989	0.001	0.000	30.6328125	BEFORE
46.510257	0.001	0.000	30.6015625	BEFORE
46.999974	0.001	0.000	30.5625	BEFORE
47.526433	0.001	0.000	30.671875	BEFORE
47.999931	0.001	0.000	30.5625	BEFORE
48.504002	0.001	0.000	30.6015625	BEFORE
49.000043	0.002	0.000	30.4765625	BEFORE
49.505183	0.001	0.000	30.5625	BEFORE
50.000055	0.001	0.000	30.4375	BEFORE
50.505138	0.001	0.000	30.5078125	BEFORE
51.000036	0.001	0.000	30.4921875	BEFORE
51.501681	0.001	0.000	30.453125	BEFORE
51.999985	0.001	0.000	30.4921875	BEFORE
52.505187	0.001	0.000	30.546875	BEFORE
53.000012	0.001	0.000	30.421875	BEFORE
53.502582	0.001	0.000	30.4375	BEFORE
53.999990	0.001	0.000	30.421875	BEFORE
54.505180	0.001	0.000	30.34375	BEFORE
54.999979	0.001	0.000	30.453125	BEFORE
55.502662	0.001	0.000	30.3671875	BEFORE
55.999968	0.001	0.000	30.34375	BEFORE
56.505200	0.001	0.000	30.2578125	BEFORE
56.999997	0.001	0.000	30.328125	BEFORE
57.504711	0.001	0.000	30.2734375	BEFORE
58.000183	0.001	0.000	30.3671875	BEFORE
58.505163	0.000	0.000	30.1875	BEFORE
58.999999	0.001	0.000	30.2421875	BEFORE
59.502610	0.001	0.000	30.2578125	BEFORE
59.999999	0.001	0.000	30.21875	BEFORE
60.999980	27.133	37.469	30.21875	EXPOSING
61.505154	27.137	37.688	33.8828125	EXPOSING
62.000002	27.138	37.828	37.015625	EXPOSING
62.503666	27.139	37.938	40.109375	EXPOSING
62.999985	27.139	38.004	43.2109375	EXPOSING
63.505135	27.139	38.086	46.0390625	EXPOSING
64.000069	27.141	38.140	49.0390625	EXPOSING
64.505151	27.140	38.197	51.625	EXPOSING
65.000027	27.138	38.250	54.7265625	EXPOSING
65.520169	27.139	38.294	57.3125	EXPOSING
65.999979	27.139	38.333	59.9921875	EXPOSING
