#Resonance Frequency: 404000.000 kHz
#Set Current: 6.34 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000031	0.002	0.000	24.875	BEFORE
0.500186	0.001	0.000	24.796875	BEFORE
1.000038	0.001	0.000	24.9609375	BEFORE
1.500544	0.001	0.000	24.8515625	BEFORE
2.000102	0.002	0.000	24.8359375	BEFORE
2.500183	0.001	0.000	24.8203125	BEFORE
3.000184	0.002	0.000	24.9140625	BEFORE
3.500162	0.002	0.000	24.9453125	BEFORE
4.000169	0.001	0.000	24.7265625	BEFORE
4.500578	0.001	0.000	24.7265625	BEFORE
5.000059	0.001	0.000	24.765625	BEFORE
5.500251	0.002	0.000	24.875	BEFORE
6.000095	0.001	0.000	24.8515625	BEFORE
6.502471	0.002	0.000	24.78125	BEFORE
7.000183	0.001	0.000	24.78125	BEFORE
7.500256	0.002	0.000	24.6875	BEFORE
8.004269	0.002	0.000	24.6875	BEFORE
8.500195	0.001	0.000	24.7109375	BEFORE
9.000196	0.001	0.000	24.6875	BEFORE
9.500243	0.002	0.000	24.765625	BEFORE
10.000194	0.001	0.000	24.6171875	BEFORE
10.505397	0.002	0.000	24.6171875	BEFORE
11.000161	0.002	0.000	24.578125	BEFORE
11.500258	0.001	0.000	24.7109375	BEFORE
12.000816	0.002	0.000	24.6171875	BEFORE
12.501085	0.001	0.000	24.671875	BEFORE
13.000043	0.001	0.000	24.7109375	BEFORE
13.500189	0.001	0.000	24.5625	BEFORE
13.999954	0.001	0.000	24.65625	BEFORE
14.500184	0.002	0.000	24.7109375	BEFORE
15.000044	0.002	0.000	24.671875	BEFORE
15.500187	0.002	0.000	24.578125	BEFORE
16.000090	0.002	0.000	24.5078125	BEFORE
16.500184	0.002	0.000	24.6015625	BEFORE
17.000205	0.001	0.000	24.546875	BEFORE
17.500703	0.002	0.000	24.6015625	BEFORE
18.000033	0.001	0.000	24.578125	BEFORE
18.500226	0.002	0.000	24.546875	BEFORE
18.999900	0.002	0.000	24.6171875	BEFORE
19.500199	0.002	0.000	24.46875	BEFORE
20.000015	0.002	0.000	24.6015625	BEFORE
20.500188	0.002	0.000	24.5625	BEFORE
21.000005	0.001	0.000	24.5078125	BEFORE
21.500182	0.002	0.000	24.6171875	BEFORE
22.000066	0.001	0.000	24.46875	BEFORE
22.500197	0.001	0.000	24.6328125	BEFORE
23.000032	0.002	0.000	24.453125	BEFORE
23.500336	0.002	0.000	24.46875	BEFORE
24.000148	0.001	0.000	24.4921875	BEFORE
24.500276	0.002	0.000	24.453125	BEFORE
25.000130	0.001	0.000	24.5234375	BEFORE
25.500220	0.002	0.000	24.5234375	BEFORE
26.000001	0.002	0.000	24.3828125	BEFORE
26.500201	0.002	0.000	24.4921875	BEFORE
26.999986	0.002	0.000	24.546875	BEFORE
27.500190	0.002	0.000	24.4140625	BEFORE
28.000148	0.002	0.000	24.359375	BEFORE
28.500200	0.002	0.000	24.6328125	BEFORE
29.000010	0.002	0.000	24.5078125	BEFORE
29.500191	0.002	0.000	24.359375	BEFORE
29.999993	0.001	0.000	24.3984375	BEFORE
30.500183	0.001	0.000	24.359375	BEFORE
31.000209	0.001	0.000	24.3046875	BEFORE
31.500194	0.002	0.000	24.3984375	BEFORE
31.999992	0.002	0.000	24.34375	BEFORE
32.500220	0.001	0.000	24.359375	BEFORE
33.000045	0.001	0.000	24.34375	BEFORE
33.500202	0.002	0.000	24.3828125	BEFORE
33.999963	0.002	0.000	24.3046875	BEFORE
34.500186	0.002	0.000	24.4375	BEFORE
35.000047	0.002	0.000	24.3984375	BEFORE
35.500206	0.001	0.000	24.25	BEFORE
35.999998	0.002	0.000	24.359375	BEFORE
36.500473	0.002	0.000	24.234375	BEFORE
37.000180	0.002	0.000	24.3046875	BEFORE
37.500473	0.002	0.000	24.1796875	BEFORE
37.999982	0.002	0.000	24.2890625	BEFORE
38.500239	0.002	0.000	24.3046875	BEFORE
39.001729	0.002	0.000	24.34375	BEFORE
39.500257	0.002	0.000	24.34375	BEFORE
40.000062	0.001	0.000	24.3046875	BEFORE
40.500213	0.001	0.000	24.328125	BEFORE
41.000013	0.002	0.000	24.2734375	BEFORE
41.500189	0.001	0.000	24.25	BEFORE
42.002096	0.002	0.000	24.21875	BEFORE
42.500168	0.001	0.000	24.3828125	BEFORE
42.999984	0.001	0.000	24.15625	BEFORE
43.505370	0.001	0.000	24.234375	BEFORE
44.000036	0.001	0.000	24.234375	BEFORE
44.500246	0.002	0.000	24.2734375	BEFORE
45.000170	0.001	0.000	24.25	BEFORE
45.500248	0.001	0.000	24.25	BEFORE
46.000033	0.001	0.000	24.1953125	BEFORE
46.500189	0.001	0.000	24.1796875	BEFORE
47.000032	0.001	0.000	24.109375	BEFORE
47.500186	0.001	0.000	24.0703125	BEFORE
48.000011	0.001	0.000	24.21875	BEFORE
48.501350	0.001	0.000	24.21875	BEFORE
49.000071	0.001	0.000	24.15625	BEFORE
