#Resonance Frequency: 922500.000 kHz
#Set Current: 7.34 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000025	0.001	0.000	26.5859375	BEFORE
0.500024	0.002	0.000	26.4765625	BEFORE
0.999820	0.002	0.000	26.5703125	BEFORE
1.500046	0.002	0.000	26.515625	BEFORE
1.999817	0.001	0.000	26.4765625	BEFORE
2.500168	0.001	0.000	26.546875	BEFORE
2.999813	0.001	0.000	26.4921875	BEFORE
3.500038	0.001	0.000	26.4609375	BEFORE
3.999821	0.001	0.000	26.515625	BEFORE
4.501448	0.001	0.000	26.4375	BEFORE
4.999783	0.002	0.000	26.40625	BEFORE
5.500003	0.001	0.000	26.390625	BEFORE
5.999835	0.001	0.000	26.296875	BEFORE
6.500180	0.001	0.000	26.390625	BEFORE
6.999985	0.002	0.000	26.3671875	BEFORE
7.500012	0.002	0.000	26.21875	BEFORE
7.999881	0.001	0.000	26.21875	BEFORE
8.501606	0.002	0.000	26.203125	BEFORE
8.999855	0.001	0.000	26.2578125	BEFORE
9.500003	0.001	0.000	26.09375	BEFORE
9.999820	0.001	0.000	26.078125	BEFORE
10.499999	0.001	0.000	26.1328125	BEFORE
11.001570	0.002	0.000	26.0546875	BEFORE
11.500095	0.001	0.000	26.0390625	BEFORE
11.999970	0.001	0.000	26.0546875	BEFORE
12.500050	0.001	0.000	26.09375	BEFORE
12.999992	0.001	0.000	26.0546875	BEFORE
13.500616	0.001	0.000	26.0390625	BEFORE
13.999829	0.001	0.000	26.0546875	BEFORE
14.501207	0.001	0.000	26.109375	BEFORE
14.999992	0.001	0.000	25.96875	BEFORE
15.502042	0.001	0.000	26.0546875	BEFORE
15.999794	0.001	0.000	26.0078125	BEFORE
16.500071	0.001	0.000	26.0078125	BEFORE
16.999791	0.001	0.000	25.8359375	BEFORE
17.500027	0.001	0.000	25.953125	BEFORE
18.001539	0.001	0.000	26.0390625	BEFORE
18.500085	0.001	0.000	25.96875	BEFORE
18.999809	0.001	0.000	25.8359375	BEFORE
19.500023	0.001	0.000	25.96875	BEFORE
