#Resonance Frequency: 160500.000 kHz
#Set Current: 27.23 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000022	0.001	0.000	23.0078125	BEFORE
0.499957	0.001	0.000	22.9921875	BEFORE
0.999885	0.001	0.000	23.046875	BEFORE
1.499965	0.001	0.000	23.0625	BEFORE
1.999706	0.001	0.000	22.953125	BEFORE
2.499969	0.001	0.000	22.921875	BEFORE
3.004860	0.001	0.000	23.0234375	BEFORE
3.499981	0.001	0.000	23.0078125	BEFORE
3.999707	0.002	0.000	23.140625	BEFORE
4.499961	0.001	0.000	22.9921875	BEFORE
4.999768	0.001	0.000	22.9375	BEFORE
5.499962	0.001	0.000	23.0234375	BEFORE
5.999820	0.002	0.000	23.046875	BEFORE
6.500258	0.001	0.000	22.9921875	BEFORE
6.999697	0.001	0.000	22.9375	BEFORE
7.505167	0.001	0.000	22.9375	BEFORE
7.999864	0.001	0.000	23.078125	BEFORE
8.499957	0.001	0.000	23.1171875	BEFORE
8.999740	0.002	0.000	23.0234375	BEFORE
9.499934	0.001	0.000	22.9921875	BEFORE
10.004996	0.001	0.000	22.921875	BEFORE
10.499953	0.001	0.000	23.0625	BEFORE
10.999752	0.001	0.000	23.0078125	BEFORE
11.499956	0.001	0.000	22.859375	BEFORE
11.999981	0.002	0.000	23.0078125	BEFORE
12.500092	0.002	0.000	23.1015625	BEFORE
12.999821	0.001	0.000	22.9375	BEFORE
13.505166	0.002	0.000	23.0234375	BEFORE
13.999741	0.001	0.000	23.0625	BEFORE
14.500004	0.001	0.000	22.9921875	BEFORE
14.999697	0.001	0.000	23.0078125	BEFORE
15.505132	0.001	0.000	22.921875	BEFORE
15.999741	0.001	0.000	23.0234375	BEFORE
16.500075	0.001	0.000	22.953125	BEFORE
16.999747	0.001	0.000	22.96875	BEFORE
17.499951	0.001	0.000	23.1015625	BEFORE
17.999743	0.001	0.000	23.0234375	BEFORE
18.499967	0.001	0.000	23.0078125	BEFORE
18.999736	0.001	0.000	22.921875	BEFORE
19.499968	0.000	0.000	22.9375	BEFORE
19.999956	0.001	0.000	22.84375	BEFORE
20.499960	0.002	0.000	22.953125	BEFORE
21.001343	0.001	0.000	22.9921875	BEFORE
21.500021	0.001	0.000	22.9375	BEFORE
21.999707	0.002	0.000	22.953125	BEFORE
22.505158	0.001	0.000	22.859375	BEFORE
22.999784	0.001	0.000	22.9375	BEFORE
23.499962	0.001	0.000	22.953125	BEFORE
23.999819	0.001	0.000	23.0078125	BEFORE
24.499955	0.001	0.000	22.953125	BEFORE
24.999941	0.000	0.000	22.859375	BEFORE
25.499955	0.000	0.000	22.921875	BEFORE
25.999947	0.001	0.000	22.84375	BEFORE
26.499958	0.001	0.000	22.9375	BEFORE
26.999806	0.001	0.000	22.921875	BEFORE
27.499985	0.001	0.000	22.921875	BEFORE
27.999756	0.001	0.000	22.953125	BEFORE
28.499981	0.001	0.000	22.8984375	BEFORE
28.999860	0.001	0.000	22.7890625	BEFORE
29.500065	0.001	0.000	22.9375	BEFORE
29.999738	0.001	0.000	22.96875	BEFORE
30.499997	0.002	0.000	22.921875	BEFORE
30.999735	0.001	0.000	22.953125	BEFORE
31.502153	0.001	0.000	22.8046875	BEFORE
31.999753	0.001	0.000	22.859375	BEFORE
32.499985	0.001	0.000	22.8984375	BEFORE
32.999732	0.001	0.000	22.8046875	BEFORE
33.499953	0.001	0.000	22.8046875	BEFORE
34.004871	0.002	0.000	22.84375	BEFORE
34.500025	0.002	0.000	22.9375	BEFORE
34.999769	0.001	0.000	22.9375	BEFORE
35.505144	0.002	0.000	22.859375	BEFORE
35.999860	0.001	0.000	22.84375	BEFORE
36.500058	0.002	0.000	22.921875	BEFORE
36.999699	0.001	0.000	22.828125	BEFORE
37.499962	0.001	0.000	22.84375	BEFORE
