#Resonance Frequency: 570500.000 kHz
#Set Current: 3.28 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000027	0.000	0.000	21.765625	BEFORE
0.500184	0.000	0.000	21.765625	BEFORE
1.000140	0.000	0.000	21.8359375	BEFORE
1.500673	0.000	0.000	21.8203125	BEFORE
2.000029	0.000	0.000	21.8359375	BEFORE
2.500179	0.000	0.000	21.875	BEFORE
3.005253	0.000	0.000	21.765625	BEFORE
3.500154	0.000	0.000	21.8203125	BEFORE
4.000018	0.000	0.000	21.8203125	BEFORE
4.500134	0.000	0.000	21.8359375	BEFORE
4.999926	0.000	0.000	21.875	BEFORE
5.505286	0.000	0.000	21.9453125	BEFORE
6.000120	0.000	0.000	21.8359375	BEFORE
6.500152	0.000	0.000	21.875	BEFORE
7.000041	0.000	0.000	21.78125	BEFORE
7.500138	0.000	0.000	21.765625	BEFORE
8.005267	0.000	0.000	21.875	BEFORE
8.500141	0.001	0.000	21.8203125	BEFORE
9.000751	0.000	0.000	21.7421875	BEFORE
9.500126	0.000	0.000	21.78125	BEFORE
9.999988	0.000	0.000	21.9296875	BEFORE
10.500157	0.000	0.000	21.859375	BEFORE
11.000335	0.000	0.000	21.8203125	BEFORE
11.500168	0.000	0.000	21.8203125	BEFORE
12.000004	0.000	0.000	21.8203125	BEFORE
12.500160	0.000	0.000	21.8359375	BEFORE
13.000044	0.000	0.000	21.8203125	BEFORE
13.500152	0.001	0.000	21.8359375	BEFORE
14.000148	0.000	0.000	21.8359375	BEFORE
14.500139	0.000	0.000	21.859375	BEFORE
15.000136	0.000	0.000	21.890625	BEFORE
15.500507	0.000	0.000	21.8359375	BEFORE
15.999995	0.000	0.000	21.796875	BEFORE
16.500180	0.000	0.000	21.796875	BEFORE
17.001000	0.000	0.000	21.7109375	BEFORE
17.500141	0.000	0.000	21.8359375	BEFORE
18.000028	0.000	0.000	21.8203125	BEFORE
18.500209	0.000	0.000	21.78125	BEFORE
18.999974	0.000	0.000	21.7421875	BEFORE
19.500158	0.000	0.000	21.8359375	BEFORE
20.000004	0.000	0.000	21.9453125	BEFORE
20.500141	0.000	0.000	21.859375	BEFORE
20.999952	0.000	0.000	21.875	BEFORE
21.500198	0.000	0.000	21.7421875	BEFORE
21.999974	0.000	0.000	21.7265625	BEFORE
22.500199	0.000	0.000	21.8359375	BEFORE
22.999942	0.000	0.000	21.8359375	BEFORE
23.500252	0.000	0.000	21.796875	BEFORE
24.000040	0.001	0.000	21.78125	BEFORE
24.500144	0.000	0.000	21.765625	BEFORE
25.000028	0.000	0.000	21.9453125	BEFORE
25.500238	0.000	0.000	21.765625	BEFORE
25.999979	0.000	0.000	21.9140625	BEFORE
26.500157	0.000	0.000	21.765625	BEFORE
26.999959	0.000	0.000	21.8359375	BEFORE
27.500150	0.000	0.000	21.671875	BEFORE
28.000150	0.000	0.000	21.78125	BEFORE
28.500265	0.000	0.000	21.8203125	BEFORE
29.000139	0.000	0.000	21.796875	BEFORE
29.500193	0.000	0.000	21.765625	BEFORE
30.004026	0.000	0.000	21.765625	BEFORE
30.500161	0.000	0.000	21.7421875	BEFORE
30.999952	0.000	0.000	21.7421875	BEFORE
31.500191	0.000	0.000	21.7421875	BEFORE
32.004039	0.000	0.000	21.796875	BEFORE
32.500151	0.000	0.000	21.671875	BEFORE
33.000075	0.000	0.000	21.796875	BEFORE
33.500169	0.000	0.000	21.796875	BEFORE
34.000100	0.000	0.000	21.796875	BEFORE
34.505221	0.000	0.000	21.8359375	BEFORE
35.000130	0.000	0.000	21.8359375	BEFORE
35.500207	0.000	0.000	21.765625	BEFORE
36.000144	0.000	0.000	21.9296875	BEFORE
36.500173	0.000	0.000	21.7421875	BEFORE
37.005226	0.001	0.000	21.6328125	BEFORE
37.500200	0.000	0.000	21.8203125	BEFORE
37.999929	0.000	0.000	21.7265625	BEFORE
38.500127	0.000	0.000	21.7265625	BEFORE
38.999965	0.000	0.000	21.7265625	BEFORE
39.505278	0.000	0.000	21.765625	BEFORE
39.999954	0.000	0.000	21.8203125	BEFORE
40.500159	0.000	0.000	21.7109375	BEFORE
41.000128	0.000	0.000	21.7421875	BEFORE
41.500196	0.000	0.000	21.8203125	BEFORE
42.000125	0.000	0.000	21.8203125	BEFORE
42.500187	0.000	0.000	21.796875	BEFORE
43.500237	0.000	0.000	21.671875	BEFORE
44.005322	0.000	0.000	21.6953125	BEFORE
44.500129	0.000	0.000	21.7265625	BEFORE
44.999961	0.000	0.000	21.8203125	BEFORE
45.500144	0.000	0.000	21.6953125	BEFORE
45.999915	0.000	0.000	21.7421875	BEFORE
46.500913	0.000	0.000	21.6953125	BEFORE
