#Resonance Frequency: 404000.000 kHz
#Set Current: 15.85 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000036	0.001	0.000	25.625	BEFORE
0.502769	0.001	0.000	25.65625	BEFORE
0.999872	0.001	0.000	25.6953125	BEFORE
1.502250	0.001	0.000	25.765625	BEFORE
1.999897	0.001	0.000	25.6015625	BEFORE
2.502578	0.001	0.000	25.6953125	BEFORE
3.004947	0.001	0.000	25.6796875	BEFORE
3.507089	0.001	0.000	25.625	BEFORE
3.999792	0.001	0.000	25.625	BEFORE
4.500169	0.001	0.000	25.65625	BEFORE
5.000097	0.001	0.000	25.625	BEFORE
5.507273	0.001	0.000	25.5859375	BEFORE
5.999764	0.001	0.000	25.625	BEFORE
6.502953	0.001	0.000	25.6796875	BEFORE
6.999832	0.001	0.000	25.6015625	BEFORE
7.502060	0.001	0.000	25.640625	BEFORE
7.999839	0.001	0.000	25.5859375	BEFORE
8.500444	0.001	0.000	25.4765625	BEFORE
8.999928	0.001	0.000	25.5703125	BEFORE
9.500289	0.001	0.000	25.5859375	BEFORE
9.999942	0.000	0.000	25.5078125	BEFORE
10.504753	0.001	0.000	25.4765625	BEFORE
10.999900	0.001	0.000	25.53125	BEFORE
11.505290	0.001	0.000	25.5703125	BEFORE
12.000017	0.001	0.000	25.6015625	BEFORE
12.526165	0.001	0.000	25.5078125	BEFORE
12.999806	0.001	0.000	25.4375	BEFORE
13.500226	0.001	0.000	25.4765625	BEFORE
13.999930	0.001	0.000	25.453125	BEFORE
14.500120	0.000	0.000	25.453125	BEFORE
15.000883	0.001	0.000	25.3984375	BEFORE
15.500112	0.000	0.000	25.4921875	BEFORE
15.999868	0.001	0.000	25.453125	BEFORE
16.500873	0.001	0.000	25.3984375	BEFORE
17.005002	0.001	0.000	25.4375	BEFORE
17.500038	0.000	0.000	25.421875	BEFORE
17.999764	0.000	0.000	25.296875	BEFORE
18.500315	0.001	0.000	25.453125	BEFORE
18.999879	0.000	0.000	25.4375	BEFORE
19.500084	0.000	0.000	25.296875	BEFORE
20.000019	0.001	0.000	25.2734375	BEFORE
20.500314	0.001	0.000	25.296875	BEFORE
20.999954	0.000	0.000	25.3671875	BEFORE
21.501860	0.001	0.000	25.3125	BEFORE
21.999980	0.000	0.000	25.1796875	BEFORE
22.505186	0.001	0.000	25.328125	BEFORE
22.999863	0.000	0.000	25.21875	BEFORE
23.502072	0.000	0.000	25.296875	BEFORE
23.999981	0.000	0.000	25.21875	BEFORE
24.500058	0.001	0.000	25.2421875	BEFORE
24.999779	0.001	0.000	25.203125	BEFORE
25.501307	0.001	0.000	25.2734375	BEFORE
26.000470	0.001	0.000	25.203125	BEFORE
26.501598	0.001	0.000	25.1484375	BEFORE
26.999758	0.001	0.000	25.21875	BEFORE
27.505125	0.001	0.000	25.1640625	BEFORE
27.999821	0.001	0.000	25.203125	BEFORE
28.500972	0.001	0.000	25.1640625	BEFORE
28.999808	0.000	0.000	25.0703125	BEFORE
29.500077	0.001	0.000	25.2421875	BEFORE
29.999810	0.001	0.000	25.1640625	BEFORE
30.500926	0.000	0.000	25.2578125	BEFORE
30.999775	0.000	0.000	25.015625	BEFORE
31.503422	0.001	0.000	25.1640625	BEFORE
31.999837	0.001	0.000	25.09375	BEFORE
32.503152	0.001	0.000	25.09375	BEFORE
32.999893	0.001	0.000	25.0390625	BEFORE
33.500206	0.001	0.000	25.09375	BEFORE
33.999946	0.000	0.000	25.125	BEFORE
34.504467	0.000	0.000	25.0546875	BEFORE
35.004974	0.001	0.000	25.0546875	BEFORE
35.501413	0.001	0.000	25.015625	BEFORE
35.999940	0.001	0.000	25.0703125	BEFORE
36.500229	0.000	0.000	24.984375	BEFORE
36.999986	0.000	0.000	24.984375	BEFORE
37.500019	0.000	0.000	25.0	BEFORE
37.999763	0.001	0.000	25.015625	BEFORE
