#Resonance Frequency: 160500.000 kHz
#Set Current: 27.24 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000029	0.001	0.000	29.546875	BEFORE
0.500137	0.000	0.000	29.5703125	BEFORE
1.001243	0.001	0.000	29.5859375	BEFORE
1.500159	0.001	0.000	29.546875	BEFORE
2.000110	0.001	0.000	29.328125	BEFORE
2.500106	0.001	0.000	29.53125	BEFORE
3.000154	0.001	0.000	29.53125	BEFORE
3.500130	0.001	0.000	29.328125	BEFORE
4.000097	0.000	0.000	29.4375	BEFORE
4.500091	0.001	0.000	29.3828125	BEFORE
5.000010	0.000	0.000	29.421875	BEFORE
5.500142	0.000	0.000	29.515625	BEFORE
6.000094	0.001	0.000	29.421875	BEFORE
6.500132	0.001	0.000	29.296875	BEFORE
6.999902	0.000	0.000	29.421875	BEFORE
7.500154	0.001	0.000	29.40625	BEFORE
8.005124	0.001	0.000	29.4609375	BEFORE
8.500175	0.000	0.000	29.2421875	BEFORE
9.000105	0.001	0.000	29.3125	BEFORE
9.500090	0.001	0.000	29.328125	BEFORE
10.000157	0.001	0.000	29.2421875	BEFORE
10.500096	0.001	0.000	29.2265625	BEFORE
10.999975	0.001	0.000	29.203125	BEFORE
11.500083	0.001	0.000	29.171875	BEFORE
12.000111	0.001	0.000	29.2421875	BEFORE
12.500101	0.001	0.000	29.1171875	BEFORE
13.001327	0.000	0.000	29.1171875	BEFORE
13.500141	0.001	0.000	29.2421875	BEFORE
14.000113	0.001	0.000	29.078125	BEFORE
14.500197	0.001	0.000	29.171875	BEFORE
15.003978	0.001	0.000	29.0625	BEFORE
15.500088	0.000	0.000	29.0078125	BEFORE
16.000129	0.001	0.000	29.09375	BEFORE
16.500168	0.000	0.000	29.09375	BEFORE
17.000092	0.001	0.000	28.8984375	BEFORE
17.501515	0.001	0.000	28.8984375	BEFORE
18.000109	0.001	0.000	28.96875	BEFORE
18.500103	0.001	0.000	29.0078125	BEFORE
19.000100	0.001	0.000	28.96875	BEFORE
19.500137	0.001	0.000	29.09375	BEFORE
20.005227	0.001	0.000	28.84375	BEFORE
20.500210	0.001	0.000	28.8046875	BEFORE
21.000102	0.000	0.000	28.9140625	BEFORE
21.500139	0.001	0.000	28.7890625	BEFORE
22.006861	0.000	0.000	28.8203125	BEFORE
22.500106	0.000	0.000	28.734375	BEFORE
23.005185	0.001	0.000	28.8046875	BEFORE
23.500165	0.000	0.000	28.8046875	BEFORE
23.999912	0.001	0.000	28.8203125	BEFORE
24.500140	0.001	0.000	28.8046875	BEFORE
25.000605	0.001	0.000	28.7890625	BEFORE
25.500171	0.001	0.000	28.6953125	BEFORE
26.005266	0.001	0.000	28.765625	BEFORE
26.500096	0.001	0.000	28.75	BEFORE
27.003308	0.000	0.000	28.6015625	BEFORE
27.500119	0.000	0.000	28.75	BEFORE
28.001043	0.000	0.000	28.53125	BEFORE
28.500125	0.001	0.000	28.734375	BEFORE
29.005223	0.000	0.000	28.640625	BEFORE
29.500199	0.001	0.000	28.640625	BEFORE
29.999980	0.001	0.000	28.6015625	BEFORE
30.500146	0.000	0.000	28.734375	BEFORE
31.062591	0.001	0.000	28.65625	BEFORE
31.499994	0.001	0.000	28.6015625	BEFORE
32.000104	0.001	0.000	28.5	BEFORE
32.500129	0.001	0.000	28.53125	BEFORE
33.000099	0.000	0.000	28.5	BEFORE
33.500139	0.001	0.000	28.5546875	BEFORE
34.000108	0.000	0.000	28.515625	BEFORE
34.500135	0.000	0.000	28.5859375	BEFORE
35.002148	0.001	0.000	28.4609375	BEFORE
35.500147	0.001	0.000	28.421875	BEFORE
35.999884	0.001	0.000	28.3359375	BEFORE
36.500109	0.000	0.000	28.5546875	BEFORE
37.000107	0.001	0.000	28.40625	BEFORE
37.500142	0.001	0.000	28.4453125	BEFORE
38.000124	0.001	0.000	28.4453125	BEFORE
38.500092	0.001	0.000	28.4609375	BEFORE
39.000109	0.001	0.000	28.2265625	BEFORE
39.500111	0.000	0.000	28.3125	BEFORE
40.000253	0.001	0.000	28.4453125	BEFORE
40.500120	0.000	0.000	28.296875	BEFORE
41.000022	0.000	0.000	28.203125	BEFORE
41.500113	0.001	0.000	28.3359375	BEFORE
