#Resonance Frequency: 923000.000 kHz
#Set Current: 11.01 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000018	0.000	0.000	21.234375	BEFORE
0.500329	0.000	0.000	21.4140625	BEFORE
1.014788	0.001	0.000	21.34375	BEFORE
1.500264	0.001	0.000	21.3046875	BEFORE
2.005479	0.001	0.000	21.4140625	BEFORE
2.500319	0.000	0.000	21.3984375	BEFORE
3.001941	0.001	0.000	21.3984375	BEFORE
3.500326	0.001	0.000	21.34375	BEFORE
4.005442	0.001	0.000	21.2890625	BEFORE
4.500398	0.000	0.000	21.453125	BEFORE
5.005520	0.000	0.000	21.4375	BEFORE
5.500326	0.001	0.000	21.3203125	BEFORE
6.001067	0.001	0.000	21.3046875	BEFORE
6.500314	0.000	0.000	21.4375	BEFORE
7.005484	0.000	0.000	21.3046875	BEFORE
7.500344	0.001	0.000	21.3828125	BEFORE
8.005479	0.000	0.000	21.3984375	BEFORE
8.500285	0.000	0.000	21.4140625	BEFORE
9.005498	0.000	0.000	21.2890625	BEFORE
9.500287	0.001	0.000	21.359375	BEFORE
10.002282	0.001	0.000	21.34375	BEFORE
10.500288	0.001	0.000	21.3203125	BEFORE
11.005490	0.001	0.000	21.3828125	BEFORE
11.500328	0.001	0.000	21.4140625	BEFORE
12.005496	0.000	0.000	21.34375	BEFORE
12.500318	0.000	0.000	21.3984375	BEFORE
13.004362	0.001	0.000	21.34375	BEFORE
13.500273	0.001	0.000	21.3828125	BEFORE
14.005509	0.001	0.000	21.3828125	BEFORE
14.500286	0.001	0.000	21.4921875	BEFORE
15.002353	0.001	0.000	21.34375	BEFORE
15.500354	0.000	0.000	21.34375	BEFORE
16.005422	0.000	0.000	21.3046875	BEFORE
16.500337	0.001	0.000	21.3046875	BEFORE
17.005503	0.001	0.000	21.3046875	BEFORE
17.500288	0.000	0.000	21.453125	BEFORE
18.001012	0.001	0.000	21.34375	BEFORE
18.500278	0.001	0.000	21.3828125	BEFORE
19.005464	0.001	0.000	21.359375	BEFORE
19.500279	0.000	0.000	21.2734375	BEFORE
20.005457	0.000	0.000	21.3984375	BEFORE
20.500291	0.001	0.000	21.3046875	BEFORE
21.007092	0.001	0.000	21.21875	BEFORE
21.500261	0.001	0.000	21.3046875	BEFORE
22.005493	0.000	0.000	21.3203125	BEFORE
22.500295	0.001	0.000	21.3984375	BEFORE
23.005493	0.001	0.000	21.34375	BEFORE
23.500310	0.001	0.000	21.3046875	BEFORE
24.001515	0.001	0.000	21.234375	BEFORE
24.500375	0.001	0.000	21.34375	BEFORE
25.005468	0.000	0.000	21.34375	BEFORE
25.500385	0.001	0.000	21.3984375	BEFORE
26.005315	0.000	0.000	21.3984375	BEFORE
26.500137	0.001	0.000	21.3203125	BEFORE
27.004434	0.001	0.000	21.3984375	BEFORE
27.500326	0.001	0.000	21.4375	BEFORE
28.005438	0.001	0.000	21.453125	BEFORE
28.500343	0.001	0.000	21.3046875	BEFORE
29.005488	0.001	0.000	21.359375	BEFORE
29.500329	0.001	0.000	21.3203125	BEFORE
30.003079	0.001	0.000	21.34375	BEFORE
30.500283	0.000	0.000	21.3046875	BEFORE
31.005464	0.001	0.000	21.3984375	BEFORE
31.500328	0.001	0.000	21.34375	BEFORE
32.000913	0.001	0.000	21.4140625	BEFORE
32.500291	0.000	0.000	21.34375	BEFORE
33.005489	0.001	0.000	21.3984375	BEFORE
33.500306	0.001	0.000	21.34375	BEFORE
34.002847	0.000	0.000	21.3203125	BEFORE
34.500308	0.001	0.000	21.3046875	BEFORE
35.005484	0.001	0.000	21.4375	BEFORE
35.500324	0.000	0.000	21.140625	BEFORE
36.005472	0.000	0.000	21.359375	BEFORE
36.500278	0.001	0.000	21.3203125	BEFORE
37.001965	0.001	0.000	21.4140625	BEFORE
37.500296	0.001	0.000	21.46875	BEFORE
38.005480	0.001	0.000	21.4375	BEFORE
38.500314	0.000	0.000	21.2890625	BEFORE
39.008825	0.000	0.000	21.34375	BEFORE
39.500260	0.000	0.000	21.3984375	BEFORE
40.005465	0.000	0.000	21.34375	BEFORE
40.500288	0.001	0.000	21.3203125	BEFORE
41.003040	0.000	0.000	21.3984375	BEFORE
41.500299	0.001	0.000	21.3203125	BEFORE
42.005455	0.000	0.000	21.3203125	BEFORE
42.500334	0.000	0.000	21.359375	BEFORE
43.002763	0.000	0.000	21.34375	BEFORE
43.500406	0.000	0.000	21.34375	BEFORE
44.005476	0.000	0.000	21.234375	BEFORE
44.500380	0.000	0.000	21.4140625	BEFORE
45.003735	0.001	0.000	21.3828125	BEFORE
45.500296	0.001	0.000	21.3046875	BEFORE
46.001387	0.001	0.000	21.3984375	BEFORE
46.500276	0.001	0.000	21.4375	BEFORE
47.005454	0.000	0.000	21.3828125	BEFORE
47.500300	0.001	0.000	21.25	BEFORE
48.004750	0.001	0.000	21.2734375	BEFORE
48.500299	0.001	0.000	21.234375	BEFORE
49.005465	0.001	0.000	21.234375	BEFORE
49.500309	0.000	0.000	21.3046875	BEFORE
50.005485	0.001	0.000	21.2734375	BEFORE
50.500276	0.001	0.000	21.3046875	BEFORE
51.005021	0.001	0.000	21.25	BEFORE
51.500276	0.000	0.000	21.2890625	BEFORE
52.005456	0.001	0.000	21.2890625	BEFORE
52.500289	0.000	0.000	21.3203125	BEFORE
53.014847	0.001	0.000	21.2890625	BEFORE
53.500257	0.001	0.000	21.3984375	BEFORE
54.005464	0.000	0.000	21.3046875	BEFORE
54.500280	0.001	0.000	21.2734375	BEFORE
55.004667	0.000	0.000	21.34375	BEFORE
55.500306	0.001	0.000	21.34375	BEFORE
56.005594	0.000	0.000	21.3203125	BEFORE
56.500312	0.000	0.000	21.2734375	BEFORE
57.005528	0.001	0.000	21.4140625	BEFORE
57.500312	0.001	0.000	21.3203125	BEFORE
58.004448	0.000	0.000	21.3046875	BEFORE
58.500318	0.001	0.000	21.34375	BEFORE
59.000639	0.000	0.000	21.34375	BEFORE
59.500302	0.001	0.000	21.46875	BEFORE
60.003402	0.001	0.000	21.3046875	BEFORE
61.005563	11.002	30.304	21.359375	EXPOSING
61.500291	11.003	30.338	25.4765625	EXPOSING
62.000331	11.004	30.363	26.3671875	EXPOSING
62.500331	11.003	30.390	27.0625	EXPOSING
63.005537	11.003	30.421	27.4609375	EXPOSING
63.500307	11.004	30.449	27.53125	EXPOSING
64.003142	11.004	30.478	27.734375	EXPOSING
