#Resonance Frequency: 160500.000 kHz
#Set Current: 9.08 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000026	0.001	0.000	20.765625	BEFORE
1.000277	0.001	0.000	20.9375	BEFORE
2.000288	0.001	0.000	20.9375	BEFORE
3.000290	0.001	0.000	20.8515625	BEFORE
4.000300	0.001	0.000	20.9375	BEFORE
5.000422	0.001	0.000	20.8515625	BEFORE
6.000541	0.000	0.000	20.9375	BEFORE
7.000334	0.001	0.000	21.1015625	BEFORE
8.000301	0.001	0.000	20.8515625	BEFORE
9.000286	0.001	0.000	20.9375	BEFORE
10.000389	0.001	0.000	20.9375	BEFORE
11.000388	0.001	0.000	21.015625	BEFORE
12.000380	0.001	0.000	20.8515625	BEFORE
13.000299	0.001	0.000	20.9375	BEFORE
14.000278	0.001	0.000	20.9375	BEFORE
15.000403	0.001	0.000	21.015625	BEFORE
16.000295	0.001	0.000	20.8515625	BEFORE
17.000304	0.001	0.000	20.8515625	BEFORE
18.000458	0.001	0.000	21.015625	BEFORE
19.000443	0.001	0.000	21.015625	BEFORE
20.000346	0.001	0.000	20.9375	BEFORE
21.000356	0.001	0.000	20.8515625	BEFORE
22.000298	0.001	0.000	20.9375	BEFORE
23.000395	0.001	0.000	20.6796875	BEFORE
24.000289	0.001	0.000	20.9375	BEFORE
25.000292	0.001	0.000	20.765625	BEFORE
26.000434	0.001	0.000	20.9375	BEFORE
27.000352	0.001	0.000	20.9375	BEFORE
28.000432	0.000	0.000	20.8515625	BEFORE
29.000514	0.000	0.000	20.8515625	BEFORE
30.000296	0.001	0.000	21.015625	BEFORE
31.000295	0.001	0.000	20.9375	BEFORE
32.000385	0.001	0.000	20.8515625	BEFORE
33.000304	0.001	0.000	20.9375	BEFORE
34.000341	0.001	0.000	20.9375	BEFORE
35.000349	0.001	0.000	20.8515625	BEFORE
36.000306	0.000	0.000	20.765625	BEFORE
37.000293	0.001	0.000	21.015625	BEFORE
38.000299	0.001	0.000	20.9375	BEFORE
39.000291	0.001	0.000	20.765625	BEFORE
40.000367	0.001	0.000	20.9375	BEFORE
41.000287	0.001	0.000	20.8515625	BEFORE
42.000477	0.001	0.000	20.9375	BEFORE
43.000373	0.000	0.000	20.9375	BEFORE
44.000420	0.001	0.000	20.765625	BEFORE
45.000293	0.001	0.000	20.8515625	BEFORE
46.000394	0.001	0.000	20.765625	BEFORE
47.000293	0.001	0.000	20.8515625	BEFORE
48.000343	0.001	0.000	20.8515625	BEFORE
49.000417	0.001	0.000	20.8515625	BEFORE
50.000297	0.001	0.000	20.9375	BEFORE
51.000341	0.001	0.000	20.765625	BEFORE
52.000304	0.001	0.000	20.765625	BEFORE
53.000345	0.001	0.000	20.765625	BEFORE
54.000341	0.001	0.000	20.765625	BEFORE
55.000372	0.001	0.000	20.8515625	BEFORE
56.000355	0.001	0.000	20.8515625	BEFORE
57.000391	0.001	0.000	20.9375	BEFORE
58.000296	0.001	0.000	20.9375	BEFORE
59.000292	0.001	0.000	20.8515625	BEFORE
60.000290	0.001	0.000	20.765625	BEFORE
60.999779	9.073	12.309	20.9375	EXPOSING
62.000365	9.073	12.323	23.1015625	EXPOSING
63.000386	9.074	12.328	24.2421875	EXPOSING
64.000378	9.074	12.332	24.578125	EXPOSING
65.000296	9.074	12.334	24.984375	EXPOSING
66.000376	9.074	12.335	25.0703125	EXPOSING
67.000290	9.073	12.336	25.1484375	EXPOSING
68.000303	9.075	12.337	25.3984375	EXPOSING
69.000344	9.074	12.337	25.3125	EXPOSING
70.000393	9.074	12.338	25.3984375	EXPOSING
71.000392	9.074	12.339	25.6484375	EXPOSING
72.000391	9.075	12.340	25.4765625	EXPOSING
73.000403	9.074	12.340	25.5625	EXPOSING
74.000293	9.074	12.340	25.7265625	EXPOSING
75.000304	9.074	12.341	25.8125	EXPOSING
76.000277	9.074	12.342	25.8125	EXPOSING
77.000284	9.075	12.342	25.7265625	EXPOSING
78.000362	9.075	12.342	25.890625	EXPOSING
79.000352	9.074	12.343	25.8125	EXPOSING
80.000415	9.075	12.343	25.890625	EXPOSING
81.000326	9.074	12.343	25.890625	EXPOSING
82.000290	9.075	12.343	25.890625	EXPOSING
83.000330	9.074	12.344	26.0546875	EXPOSING
84.000279	9.074	12.344	25.9765625	EXPOSING
85.000324	9.074	12.345	25.9765625	EXPOSING
86.000416	9.075	12.345	26.0546875	EXPOSING
87.000361	9.074	12.345	25.9765625	EXPOSING
88.000372	9.074	12.345	26.0546875	EXPOSING
89.000357	9.074	12.346	26.140625	EXPOSING
90.000381	9.074	12.346	26.140625	EXPOSING
91.000373	9.074	12.346	26.140625	EXPOSING
92.000281	9.074	12.346	26.140625	EXPOSING
93.000345	9.074	12.346	26.0546875	EXPOSING
94.000381	9.074	12.347	26.140625	EXPOSING
95.000386	9.074	12.347	26.140625	EXPOSING
96.000293	9.074	12.347	26.21875	EXPOSING
97.000288	9.074	12.348	26.21875	EXPOSING
98.000289	9.074	12.348	26.140625	EXPOSING
99.000485	9.075	12.349	26.296875	EXPOSING
100.000289	9.074	12.348	26.296875	EXPOSING
101.000305	9.075	12.349	26.4609375	EXPOSING
102.000294	9.074	12.349	26.3828125	EXPOSING
103.000337	9.075	12.350	26.296875	EXPOSING
104.000329	9.074	12.350	26.3828125	EXPOSING
105.000289	9.074	12.350	26.3828125	EXPOSING
106.000412	9.074	12.350	26.296875	EXPOSING
107.000287	9.074	12.351	26.4609375	EXPOSING
108.000404	9.074	12.350	26.4609375	EXPOSING
109.000368	9.074	12.351	26.296875	EXPOSING
110.000336	9.074	12.351	26.3828125	EXPOSING
111.000287	9.074	12.351	26.4609375	EXPOSING
112.000375	9.074	12.351	26.3828125	EXPOSING
113.000289	9.074	12.351	26.4609375	EXPOSING
114.000381	9.074	12.352	26.546875	EXPOSING
115.000343	9.075	12.352	26.4609375	EXPOSING
116.000392	9.075	12.352	26.546875	EXPOSING
117.000291	9.074	12.353	26.4609375	EXPOSING
118.000367	9.074	12.353	26.546875	EXPOSING
119.000398	9.075	12.352	26.546875	EXPOSING
120.000334	9.075	12.353	26.546875	EXPOSING
120.999877	0.019	0.004	26.3828125	WAIT
122.000352	0.017	0.001	23.828125	WAIT
123.000329	0.001	0.000	23.1015625	WAIT
124.000338	0.001	0.000	22.765625	WAIT
125.000284	0.001	0.000	22.6015625	WAIT
126.000271	0.001	0.000	22.3515625	WAIT
127.000437	0.001	0.000	22.2734375	WAIT
128.000299	0.001	0.000	22.2734375	WAIT
129.000277	0.001	0.000	22.2734375	WAIT
130.000421	0.000	0.000	22.1875	WAIT
131.000383	0.001	0.000	21.9375	WAIT
132.000378	0.001	0.000	22.015625	WAIT
133.000261	0.001	0.000	22.015625	WAIT
134.000356	0.001	0.000	21.9375	WAIT
135.000694	0.000	0.000	21.765625	WAIT
136.000376	0.001	0.000	21.9375	WAIT
137.000405	0.001	0.000	21.6875	WAIT
138.000340	0.000	0.000	21.765625	WAIT
139.000297	0.001	0.000	21.765625	WAIT
140.000280	0.001	0.000	21.765625	WAIT
141.000468	0.001	0.000	21.6875	WAIT
142.000392	0.001	0.000	21.6875	WAIT
143.000294	0.001	0.000	21.765625	WAIT
144.000288	0.001	0.000	21.6875	WAIT
145.000298	0.001	0.000	21.765625	WAIT
146.000348	0.001	0.000	21.6875	WAIT
147.000353	0.001	0.000	21.6015625	WAIT
148.000401	0.001	0.000	21.765625	WAIT
149.000288	0.001	0.000	21.6875	WAIT
150.000506	0.001	0.000	21.6015625	WAIT
151.000391	0.001	0.000	21.6875	WAIT
152.000387	0.001	0.000	21.6875	WAIT
153.000290	0.001	0.000	21.515625	WAIT
154.000397	0.001	0.000	21.515625	WAIT
155.000301	0.001	0.000	21.4375	WAIT
156.000305	0.001	0.000	21.4375	WAIT
157.000333	0.001	0.000	21.6875	WAIT
158.000378	0.001	0.000	21.515625	WAIT
159.000411	0.001	0.000	21.4375	WAIT
160.000286	0.001	0.000	21.4375	WAIT
161.000278	0.001	0.000	21.515625	WAIT
162.000298	0.001	0.000	21.4375	WAIT
163.000346	0.001	0.000	21.4375	WAIT
164.000287	0.001	0.000	21.515625	WAIT
165.000331	0.001	0.000	21.4375	WAIT
166.000365	0.001	0.000	21.3515625	WAIT
167.000453	0.001	0.000	21.4375	WAIT
168.000384	0.001	0.000	21.3515625	WAIT
169.000374	0.001	0.000	21.3515625	WAIT
170.000296	0.001	0.000	21.4375	WAIT
171.000286	0.001	0.000	21.4375	WAIT
172.000887	0.001	0.000	21.4375	WAIT
173.000375	0.001	0.000	21.3515625	WAIT
174.000398	0.001	0.000	21.3515625	WAIT
175.000291	0.001	0.000	21.265625	WAIT
176.000327	0.001	0.000	21.3515625	WAIT
177.000265	0.001	0.000	21.3515625	WAIT
178.000326	0.001	0.000	21.3515625	WAIT
179.000433	0.001	0.000	21.3515625	WAIT
180.000302	0.001	0.000	21.265625	WAIT
181.000390	0.001	0.000	21.265625	WAIT
182.000285	0.001	0.000	21.265625	WAIT
183.000300	0.001	0.000	21.3515625	WAIT
184.000360	0.001	0.000	21.3515625	WAIT
185.000398	0.001	0.000	21.265625	WAIT
186.000343	0.001	0.000	21.3515625	WAIT
187.000405	0.001	0.000	21.4375	WAIT
188.000351	0.001	0.000	21.3515625	WAIT
189.000424	0.001	0.000	21.3515625	WAIT
190.000305	0.001	0.000	21.3515625	WAIT
191.000301	0.001	0.000	21.265625	WAIT
192.000399	0.001	0.000	21.4375	WAIT
193.000355	0.001	0.000	21.265625	WAIT
