Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
401000.0	4.762	14.668	22.3515625
402000.0	5.869	14.669	25.3984375
403000.0	6.920	14.669	27.1171875
404000.0	7.355	14.669	29.1484375
405000.0	6.973	14.669	30.28125
406000.0	6.117	14.669	30.4375
407000.0	5.113	14.669	29.71875
408000.0	4.183	14.669	28.3359375
409000.0	3.429	14.669	27.4453125
410000.0	2.851	14.669	26.140625
411000.0	2.416	14.669	25.3984375
403000.0	6.909	14.669	26.546875
403500.0	7.239	14.668	29.234375
404000.0	7.348	14.669	30.921875
404500.0	7.239	14.669	31.6484375
405000.0	6.967	14.669	31.96875
