Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
569000.0	6.359	16.328	21.6953125
570000.0	6.973	16.329	22.5
571000.0	7.154	16.330	22.7734375
572000.0	6.902	16.330	22.953125
573000.0	6.364	16.330	23.0078125
574000.0	5.680	16.330	22.8046875
575000.0	4.961	16.330	22.625
576000.0	4.294	16.330	22.53125
577000.0	3.720	16.331	22.3671875
578000.0	3.249	16.330	22.203125
579000.0	2.870	16.331	22.0234375
570000.0	6.963	16.330	22.3671875
570500.0	7.124	16.330	22.8046875
571000.0	7.148	16.330	22.9921875
571500.0	7.069	16.330	23.078125
572000.0	6.898	16.331	23.1015625
