Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
923000.0	5.511	13.999	21.9296875
924000.0	5.466	14.001	22.8046875
925000.0	5.311	14.001	23.140625
926000.0	5.071	14.001	23.171875
927000.0	4.772	14.001	23.140625
928000.0	4.441	14.001	23.0078125
929000.0	4.099	14.001	22.921875
930000.0	3.766	14.001	22.7734375
931000.0	3.456	14.001	22.734375
932000.0	3.179	14.001	22.53125
933000.0	2.935	14.001	22.4609375
922000.0	5.442	14.001	22.6953125
922500.0	5.489	14.001	22.953125
923000.0	5.510	14.001	23.140625
923500.0	5.503	14.001	23.3203125
924000.0	5.465	14.001	23.390625
