Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
569000.0	6.562	16.328	22.296875
570000.0	7.143	16.330	23.7734375
571000.0	7.236	16.330	24.6328125
572000.0	6.912	16.330	25.4375
573000.0	6.328	16.331	25.890625
574000.0	5.613	16.331	26.1875
575000.0	4.880	16.331	26.3125
576000.0	4.216	16.331	25.984375
577000.0	3.652	16.330	25.5859375
578000.0	3.192	16.331	25.296875
579000.0	2.824	16.331	25.203125
570000.0	7.126	16.331	25.125
570500.0	7.238	16.330	25.953125
571000.0	7.224	16.331	26.5703125
571500.0	7.106	16.331	27.0625
572000.0	6.903	16.330	27.3515625
