Frequency [Hz]	Current [A]	Voltage [V]	T0 [degC]
401000.0	4.853	14.666	22.5859375
402000.0	5.983	14.667	23.0234375
403000.0	7.024	14.667	23.359375
404000.0	7.396	14.667	23.59375
405000.0	6.957	14.668	23.6875
406000.0	6.068	14.668	23.796875
407000.0	5.049	14.668	23.7421875
408000.0	4.123	14.668	23.6875
409000.0	3.378	14.668	23.6875
410000.0	2.810	14.668	23.609375
411000.0	2.384	14.668	23.6328125
403000.0	7.014	14.668	23.6875
403500.0	7.320	14.669	24.0
404000.0	7.390	14.668	24.109375
404500.0	7.251	14.668	24.46875
405000.0	6.952	14.668	24.4375
